fold,epoch,train_loss,train_error,val_loss,val_error,val_auc,val_f1
1,1,0.8305348024191954,0.23721881390593047,0.5026729334099793,0.20987654320987653,0.6507311586051743,0.46875
1,2,0.47265909129471834,0.1983640081799591,0.5060057729988554,0.2037037037037037,0.6501687289088864,0.49656276485544776
1,3,0.43524108810211265,0.18404907975460122,0.4402965078659264,0.1728395061728395,0.8062992125984252,0.6977611940298507
1,4,0.38133815944645694,0.15950920245398773,0.38963318599479985,0.16049382716049382,0.8296962879640045,0.6706287144197686
1,5,0.3588076699814966,0.147239263803681,0.4229998336012625,0.17901234567901234,0.8157480314960629,0.6111892741868741
1,6,0.3271622160501969,0.13496932515337423,0.4323934135817704,0.13580246913580246,0.847244094488189,0.7689914441275603
1,7,0.32155643428615066,0.12883435582822086,0.36159614560964665,0.16049382716049382,0.8535433070866142,0.7022058823529411
1,8,0.2996179429308146,0.12474437627811862,0.412117550359395,0.16666666666666666,0.7932508436445445,0.7273577261110764
1,9,0.3038592161472978,0.10633946830265849,0.3399418069144573,0.13580246913580246,0.8686164229471317,0.7749999999999999
1,10,0.2927745976832947,0.130879345603272,0.39649883929608076,0.1419753086419753,0.8629921259842519,0.7481581615410611
1,11,0.29417691952756786,0.1165644171779141,0.36720538465881053,0.15432098765432098,0.8798650168728909,0.709114414996768
1,12,0.26604994673870186,0.10224948875255624,0.3666371966979501,0.1419753086419753,0.8623172103487065,0.788235294117647
1,13,0.2476154353808714,0.09815950920245399,0.32060819770494065,0.12962962962962962,0.8904386951631046,0.7631414049989557
1,14,0.25996254153242165,0.08997955010224949,0.36318105141981505,0.14814814814814814,0.8548931383577052,0.7606500861856687
1,15,0.2448718889995475,0.10633946830265849,0.3481025218902182,0.12962962962962962,0.8749156355455568,0.793103448275862
1,16,0.21623743210332994,0.07975460122699386,0.328065293469541,0.11728395061728394,0.8796400449943756,0.8171666171666172
1,17,0.25533737490346864,0.09815950920245399,0.337529895185812,0.12345679012345678,0.8809898762654668,0.8005417384880571
1,18,0.2601985789698395,0.10224948875255624,0.3548623591485483,0.13580246913580246,0.8843644544431947,0.7858173076923076
