metric,test_auc,test_f1,test_acc,val_auc,balanced_acc,sensitivity,specificity,pr_auc
mean,0.955674192009708,0.8872413498799814,0.9018748998450938,0.9578372941016999,0.88178857858168,0.8184984170058798,0.9450787401574804,0.908406404632742
std,0.02653536679575987,0.06142805252471594,0.04998109919068012,0.015957371951110823,0.06522869397857284,0.11599640375044319,0.026753944946848802,0.06316769692761186
