fold,test_auc,test_acc,test_f1,val_auc,val_acc,balanced_acc,sensitivity,specificity,pr_auc
1,0.9711174242424243,0.9278350515463918,0.919625946969697,0.9432410037878788,0.9072164948453608,0.919625946969697,0.8939393939393939,0.9453125,0.9547668212865518
2,0.9638967803030303,0.9020618556701031,0.89280832872888,0.9918909390057586,0.9432989690721649,0.900094696969697,0.8939393939393939,0.90625,0.931556322471356
3,0.984369491127042,0.9536082474226805,0.9485183547103051,0.9414220949654021,0.8911917098445595,0.9469385356681161,0.9253731343283582,0.968503937007874,0.9618822365909693
4,0.9540682414698163,0.9067357512953368,0.8930682098005418,0.9522786924361728,0.8963730569948186,0.8818301121450727,0.803030303030303,0.9606299212598425,0.9252052647193849
5,0.9538296349319971,0.8963730569948186,0.8831153100775193,0.9852035984848485,0.9123711340206185,0.8775948460987831,0.8181818181818182,0.937007874015748,0.8976303283120534
