metric,test_auc,test_f1,test_acc,val_auc,balanced_acc,sensitivity,specificity,pr_auc
mean,0.958918709512566,0.9080042832023286,0.9162972063458149,0.9533972301386766,0.9123936064131739,0.9001809136137495,0.9246062992125985,0.9153673451078674
std,0.019576027005548537,0.028786956817946657,0.026479741656553566,0.01446780963001841,0.02804932921283555,0.046706643235231195,0.03324040543674381,0.04157988658243494
