section,metric,value,note
inputs,prediction_slides,194,
inputs,top_concept_rows,3880,
inputs,graph_edge_rows,45,
selection,selected_slides,8,
selection,selected_correct,6,
selection,selected_incorrect,2,
paths,slide_evidence_paths,54,
outputs,generated_file_count,13,
quality,warning_count,0,
inputs,graph_json_edge_count,45,
inputs,graph_json_concept_node_count,45,
outputs,stage15_selected_slides.csv,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/stage15_selected_slides.csv
outputs,stage15_slide_evidence_paths.csv,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/stage15_slide_evidence_paths.csv
outputs,top_concept_class_edges_by_class.png,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/figures/top_concept_class_edges_by_class.png
outputs,top_concept_class_edges_by_scale.png,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/figures/top_concept_class_edges_by_scale.png
outputs,selected_slide_probability_overview.png,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/figures/selected_slide_probability_overview.png
outputs,slide_25024688B2_predclass_region_concept_heatmap.png,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/figures/slide_25024688B2_predclass_region_concept_heatmap.png
outputs,slide_2475022-B_predclass_region_concept_heatmap.png,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/figures/slide_2475022-B_predclass_region_concept_heatmap.png
outputs,slide_25024310B3_predclass_region_concept_heatmap.png,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/figures/slide_25024310B3_predclass_region_concept_heatmap.png
outputs,slide_25001929B3_predclass_region_concept_heatmap.png,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/figures/slide_25001929B3_predclass_region_concept_heatmap.png
outputs,slide_25028514B_predclass_region_concept_heatmap.png,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/figures/slide_25028514B_predclass_region_concept_heatmap.png
outputs,slide_25025087B_predclass_region_concept_heatmap.png,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/figures/slide_25025087B_predclass_region_concept_heatmap.png
outputs,slide_25045625B1_predclass_region_concept_heatmap.png,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/figures/slide_25045625B1_predclass_region_concept_heatmap.png
outputs,slide_25023972B3_predclass_region_concept_heatmap.png,1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage15_rce_evidence_visualization_fold0/figures/slide_25023972B3_predclass_region_concept_heatmap.png
outputs,heatmap_png_count,8,
