config_id,exp_code,branch,ACC,BACC,F1,AUC,PR_AUC
A,rce_v2_rc_config_A_fold0,full,0.9329896907216496,0.9308712121212122,0.9261601522471088,0.9723011363636364,0.9410570211702116
A,rce_v2_rc_config_A_fold0,concept_only,0.9329896907216496,0.9272017045454546,0.9256376234704408,0.9730113636363636,0.9448484719126148
A,rce_v2_rc_config_A_fold0,full_without_visual,0.9329896907216496,0.9272017045454546,0.9256376234704408,0.9730113636363636,0.9448484719126148
A,rce_v2_rc_config_A_fold0,visual_only,0.9381443298969072,0.9384469696969696,0.9320728291316528,0.970525568181818,0.935550159502546
A,rce_v2_rc_config_A_fold0,low_only,0.7938144329896907,0.7666903409090908,0.7686344663088849,0.8684895833333333,0.7896020642794864
A,rce_v2_rc_config_A_fold0,high_only,0.8969072164948454,0.8888494318181819,0.8860030555882008,0.9551373106060608,0.9117516158680876
A,rce_v2_rc_config_A_fold0,csg_only,0.2422680412371134,0.3413825757575757,0.2103558078360792,0.2837357954545454,0.2952005811381977
B,rce_v2_rc_config_B_fold0,full,0.9278350515463918,0.919625946969697,0.919625946969697,0.9797585227272728,0.9578585847104836
B,rce_v2_rc_config_B_fold0,concept_only,0.922680412371134,0.9120501893939394,0.9135652122256216,0.978219696969697,0.9564208254855692
B,rce_v2_rc_config_B_fold0,full_without_visual,0.922680412371134,0.9120501893939394,0.9135652122256216,0.978219696969697,0.9564208254855692
B,rce_v2_rc_config_B_fold0,visual_only,0.9278350515463918,0.9232954545454546,0.9202021389117404,0.9799952651515152,0.960491374441408
B,rce_v2_rc_config_B_fold0,low_only,0.7783505154639175,0.7696496212121212,0.7604731960834985,0.8713304924242424,0.8277210930076965
B,rce_v2_rc_config_B_fold0,high_only,0.9123711340206184,0.9005681818181819,0.9020405738557044,0.9612926136363636,0.8883158105570581
B,rce_v2_rc_config_B_fold0,csg_only,0.3350515463917525,0.4924242424242424,0.2509652509652509,0.6318655303030303,0.5233649960454976
C,rce_v2_rc_config_C_fold0,full,0.9432989690721648,0.9350142045454546,0.9366144889654556,0.970407196969697,0.945615945961251
C,rce_v2_rc_config_C_fold0,concept_only,0.9329896907216496,0.9198626893939394,0.9245158780042502,0.96875,0.9473902474892608
C,rce_v2_rc_config_C_fold0,full_without_visual,0.9329896907216496,0.9198626893939394,0.9245158780042502,0.96875,0.9473902474892608
C,rce_v2_rc_config_C_fold0,visual_only,0.922680412371134,0.9120501893939394,0.9135652122256216,0.9662642045454546,0.9345546965339084
C,rce_v2_rc_config_C_fold0,low_only,0.7628865979381443,0.7359138257575757,0.7359138257575757,0.80859375,0.7332710715692539
C,rce_v2_rc_config_C_fold0,high_only,0.9123711340206184,0.9005681818181819,0.9020405738557044,0.95703125,0.904405515526641
C,rce_v2_rc_config_C_fold0,csg_only,0.5515463917525774,0.5207149621212122,0.5182531753960326,0.5260416666666666,0.4228773086804995
D,rce_v2_rc_config_D_fold0,full,0.9278350515463918,0.912286931818182,0.9183894230769232,0.9683948863636364,0.945292696283196
D,rce_v2_rc_config_D_fold0,concept_only,0.9175257731958762,0.8971354166666667,0.9059735853628984,0.9655539772727272,0.9371910412184774
D,rce_v2_rc_config_D_fold0,full_without_visual,0.9175257731958762,0.8971354166666667,0.9059735853628984,0.9655539772727272,0.9371910412184774
D,rce_v2_rc_config_D_fold0,visual_only,0.922680412371134,0.9047111742424244,0.9122092497058556,0.9667376893939394,0.9465380839238848
D,rce_v2_rc_config_D_fold0,low_only,0.7989690721649485,0.7412405303030303,0.7565245374094931,0.8312026515151514,0.7606130795214211
D,rce_v2_rc_config_D_fold0,high_only,0.9123711340206184,0.8932291666666667,0.9005038163333032,0.953716856060606,0.9006801405638996
D,rce_v2_rc_config_D_fold0,csg_only,0.788659793814433,0.7848011363636364,0.7729698872556016,0.8463541666666666,0.7522248220930452
E,rce_v2_rc_config_E_fold0,full,0.922680412371134,0.915719696969697,0.9141972578505086,0.9737215909090908,0.9469309041435544
E,rce_v2_rc_config_E_fold0,concept_only,0.9278350515463918,0.9159564393939394,0.9190220632081098,0.9731297348484848,0.9471530237000408
E,rce_v2_rc_config_E_fold0,full_without_visual,0.9278350515463918,0.9159564393939394,0.9190220632081098,0.9731297348484848,0.9471530237000408
E,rce_v2_rc_config_E_fold0,visual_only,0.9123711340206184,0.9115767045454546,0.9040916625468928,0.9725378787878788,0.9437836047300878
E,rce_v2_rc_config_E_fold0,low_only,0.7731958762886598,0.7694128787878788,0.7570582877959927,0.8504971590909091,0.7602383102544147
E,rce_v2_rc_config_E_fold0,high_only,0.9020618556701032,0.8854166666666667,0.8896770524677502,0.9651988636363636,0.9231876608942664
E,rce_v2_rc_config_E_fold0,csg_only,0.4587628865979381,0.5568181818181819,0.4496230850287752,0.7915482954545455,0.76610120090194
