experiment,train_dir,status,test_auc_mean,test_auc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,val_auc_mean,val_auc_std,balanced_acc_mean,balanced_acc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,pr_auc_mean,pr_auc_std
Concept-12 PEPS topk=5 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.07_s1,ok,0.9683268962987496,0.0064888472653998,0.9390470594519524,0.0075947901490142,0.9321793068729096,0.0077404916904356,0.9729994068780116,0.0076200671548897,0.9312747008960208,0.0054453425671602,0.906422433288105,0.0290510735084434,0.9561269685039372,0.0244522243149278,0.9458663859196496,0.0141147693539249
Concept-12 SAP-PEPS topk=5 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_sap_peps_topk5_tau0.07_s1,ok,0.969688169411532,0.006854518770469,0.9369852037818492,0.006820854982747,0.9300948612965388,0.0067658844864278,0.9734153615645824,0.006974598009202,0.930427647686763,0.0016941708949511,0.909452736318408,0.0209220356482036,0.9514025590551182,0.0211244756292775,0.940600605718262,0.0247039435395784
Concept-12 PEPS topk=5 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.1_s1,ok,0.9694995378111232,0.0086143470801058,0.9359649591367984,0.0161210062770426,0.929148348492123,0.0167637832526574,0.9713647656825928,0.0060764218975451,0.9296360866346508,0.0103035711338185,0.9094075079149706,0.0132083975035362,0.9498646653543308,0.0298108640803815,0.9417620951618664,0.0207070283440902
Concept-12 SAP-PEPS topk=5 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_sap_peps_topk5_tau0.1_s1,missing,,,,,,,,,,,,,,,,
