variant,status,run_dir,fold_summary_path,checkpoint_exists,checkpoint_count,log_exists,has_traceback,has_nan_or_inf,missing_folds,missing_checkpoint_folds,gate_init,gate_hidden_dim,feature_set,include_optional_features,test_auc_mean,test_auc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,balanced_acc_mean,balanced_acc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,pr_auc_mean,pr_auc_std,val_auc_mean,val_auc_std
prarc_v1_g05,ok,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage47/stage47_prarc_v1_g05_s1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage47/stage47_prarc_v1_g05_s1/fold_summary.csv,True,5,True,False,False,,,0.5,16,v1,False,0.96000751877691,0.0178235732650891,0.9132151060306608,0.025154316672066936,0.9035291601668943,0.027685835393695683,0.9028421917123403,0.02521328340501601,0.8699683401175939,0.03154433913884809,0.9357160433070867,0.028955822646931993,0.9329697362697352,0.022379404244702836,0.9616708784504466,0.015111227228562877
prarc_v1_g08,ok,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage47/stage47_prarc_v1_g08_s1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage47/stage47_prarc_v1_g08_s1/fold_summary.csv,True,5,True,False,False,,,0.8,16,v1,False,0.958775481597916,0.017474276736672463,0.8987714331499387,0.02361242629466673,0.8879666188056291,0.023069059248040404,0.8876492709813496,0.010982339651555451,0.8520578923564,0.033221301422591075,0.9232406496062993,0.05258332749830413,0.9209607991515641,0.043016849587578114,0.9590083872869013,0.01796442978624404
prarc_v1_g10,ok,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage47/stage47_prarc_v1_g10_s1,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage47/stage47_prarc_v1_g10_s1/fold_summary.csv,True,5,True,False,False,,,0.99,16,v1,False,0.9569869703469054,0.021584745682513527,0.8966561615298329,0.017215137798705434,0.8837982758031864,0.017297560000515678,0.8787376200600434,0.012458824669571083,0.821845318860244,0.031721010961627404,0.9356299212598426,0.035972558038035944,0.9303236281045777,0.032975927779477096,0.955353058103363,0.020608829134904586
