metric,test_auc,test_f1,test_acc,val_auc,balanced_acc,sensitivity,specificity,pr_auc
mean,0.962691714343458,0.9080461497240366,0.9173281341808665,0.9668366265264586,0.905993965391368,0.8700587969244685,0.9419291338582678,0.9400358501445648
std,0.018895459642249618,0.02471751461774333,0.0234397660997611,0.01632407252966336,0.01857717595176772,0.007886619768103197,0.03464111210772789,0.02801013030157016
