metric,test_auc,test_f1,test_acc,val_auc,balanced_acc,sensitivity,specificity,pr_auc
mean,0.9702127532300915,0.9144563517525356,0.9225094813311255,0.9711256597292707,0.9171426221612053,0.9001809136137494,0.9341043307086615,0.9443991016694445
std,0.013016161155366066,0.020681076044719304,0.01877882982148649,0.01333644357888137,0.01964828695227779,0.02668843737330777,0.020100439872186016,0.025167774091446184
