flip_type,fold,sample_id,slide_id,label,pred_full,pred_concept_only,pred_visual_only,pred_full_without_visual,full_correct,concept_correct,visual_correct,full_without_visual_correct,full_margin,concept_margin,visual_margin,csg_margin,visual_contribution_ratio,concept_contribution_ratio,csg_contribution_ratio
concept_only_correct_full_wrong,0,2487558-B2,2487558-B2,0,1,0,1,0,False,True,False,True,-0.17433595657348633,0.2176060676574707,-0.3996388018131256,-0.01747063361108303,0.21317148208618164,0.7868285179138184,0.0025258155073970556
visual_only_correct_concept_wrong,0,2469927-B2,2469927-B2,0,0,1,0,1,True,False,True,False,1.7426707744598389,-0.3147972822189331,2.049771308898926,-0.013975751586258411,0.5020083785057068,0.4979916214942932,0.0004581735411193222
visual_only_correct_concept_wrong,0,25019273B,25019273B,1,0,0,1,0,False,False,True,False,-0.021348074078559875,-1.108713150024414,1.095062017440796,0.012016390450298786,0.4178917109966278,0.5821082592010498,0.0033825889695435762
visual_only_correct_concept_wrong,0,25020556B4,25020556B4,1,1,0,1,0,True,False,True,False,1.1877491474151611,-0.9676268100738525,2.1630728244781494,0.007378525100648403,0.5029637217521667,0.49703630805015564,0.0007620114483870566
concept_only_wrong_full_correct,0,2469927-B2,2469927-B2,0,0,1,0,1,True,False,True,False,1.7426707744598389,-0.3147972822189331,2.049771308898926,-0.013975751586258411,0.5020083785057068,0.4979916214942932,0.0004581735411193222
concept_only_wrong_full_correct,0,25020556B4,25020556B4,1,1,0,1,0,True,False,True,False,1.1877491474151611,-0.9676268100738525,2.1630728244781494,0.007378525100648403,0.5029637217521667,0.49703630805015564,0.0007620114483870566
full_without_visual_correct_full_wrong,0,2487558-B2,2487558-B2,0,1,0,1,0,False,True,False,True,-0.17433595657348633,0.2176060676574707,-0.3996388018131256,-0.01747063361108303,0.21317148208618164,0.7868285179138184,0.0025258155073970556
full_correct_full_without_visual_wrong,0,2469927-B2,2469927-B2,0,0,1,0,1,True,False,True,False,1.7426707744598389,-0.3147972822189331,2.049771308898926,-0.013975751586258411,0.5020083785057068,0.4979916214942932,0.0004581735411193222
full_correct_full_without_visual_wrong,0,25020556B4,25020556B4,1,1,0,1,0,True,False,True,False,1.1877491474151611,-0.9676268100738525,2.1630728244781494,0.007378525100648403,0.5029637217521667,0.49703630805015564,0.0007620114483870566
