slide_id,proposal_radius,nms_radius,strategy,bbox_expand,high_radius,anchor_rank,anchor_center_x,anchor_center_y,child_rank,child_source,high_child_index,high_child_coord_x,high_child_coord_y,high_child_center_x,high_child_center_y,distance_to_anchor
2460239-B2,512.0,512.0,bbox_then_nearest,4.0,,2,62512.0,49121.0,1,bbox,1276,62384.0,48993.0,62512.0,49121.0,0.0
2460239-B2,512.0,512.0,bbox_then_nearest,4.0,,2,62512.0,49121.0,2,nearest_fallback,406,62384.0,47969.0,62512.0,48097.0,1024.0
2460239-B2,512.0,512.0,bbox_then_nearest,4.0,,2,62512.0,49121.0,3,nearest_fallback,2385,62384.0,50017.0,62512.0,50145.0,1024.0
2460239-B2,512.0,512.0,bbox_then_nearest,6.0,,2,62512.0,49121.0,1,bbox,1276,62384.0,48993.0,62512.0,49121.0,0.0
2460239-B2,512.0,512.0,bbox_then_nearest,6.0,,2,62512.0,49121.0,2,nearest_fallback,406,62384.0,47969.0,62512.0,48097.0,1024.0
2460239-B2,512.0,512.0,bbox_then_nearest,6.0,,2,62512.0,49121.0,3,nearest_fallback,2385,62384.0,50017.0,62512.0,50145.0,1024.0
2460239-B2,512.0,512.0,bbox_then_nearest,8.0,,2,62512.0,49121.0,1,bbox,1276,62384.0,48993.0,62512.0,49121.0,0.0
2460239-B2,512.0,512.0,bbox_then_nearest,8.0,,2,62512.0,49121.0,2,bbox,39,63408.0,48993.0,63536.0,49121.0,1024.0
2460239-B2,512.0,512.0,bbox_then_nearest,8.0,,2,62512.0,49121.0,3,bbox,468,61360.0,48993.0,61488.0,49121.0,1024.0
2460239-B2,512.0,512.0,bbox_then_nearest,10.0,,2,62512.0,49121.0,1,bbox,1276,62384.0,48993.0,62512.0,49121.0,0.0
2460239-B2,512.0,512.0,bbox_then_nearest,10.0,,2,62512.0,49121.0,2,bbox,39,63408.0,48993.0,63536.0,49121.0,1024.0
2460239-B2,512.0,512.0,bbox_then_nearest,10.0,,2,62512.0,49121.0,3,bbox,468,61360.0,48993.0,61488.0,49121.0,1024.0
2460239-B2,512.0,512.0,center_radius,,512.0,2,62512.0,49121.0,1,radius,1276,62384.0,48993.0,62512.0,49121.0,0.0
2460239-B2,512.0,512.0,center_radius,,1024.0,2,62512.0,49121.0,1,radius,1276,62384.0,48993.0,62512.0,49121.0,0.0
2460239-B2,512.0,512.0,center_radius,,1024.0,2,62512.0,49121.0,2,radius,39,63408.0,48993.0,63536.0,49121.0,1024.0
2460239-B2,512.0,512.0,center_radius,,1024.0,2,62512.0,49121.0,3,radius,406,62384.0,47969.0,62512.0,48097.0,1024.0
