branch,available,num_samples,logit_space,acc,balanced_acc,macro_f1,auc,pr_auc
full,True,194,post_calibration,0.9175257731958762,0.8934659090909092,0.9051808406647117,0.9699337121212122,0.950649359607235
concept_only,True,194,post_calibration,0.9175257731958762,0.8934659090909092,0.9051808406647117,0.9702888257575758,0.9493148872583308
full_without_visual,True,194,post_calibration,0.9175257731958762,0.8934659090909092,0.9051808406647117,0.9702888257575758,0.9493148872583308
visual_only,True,194,post_calibration,0.9123711340206185,0.8822206439393939,0.897916860123193,0.9674479166666666,0.9494088090641631
low_only,True,194,post_calibration,0.8144329896907216,0.8006628787878788,0.796218487394958,0.8626893939393939,0.7966401892354993
high_only,True,194,post_calibration,0.8917525773195877,0.8555871212121212,0.8727312486332823,0.9433001893939394,0.9174780649879359
csg_only,True,194,post_calibration,0.7680412371134021,0.728811553030303,0.7344486692015209,0.7878787878787878,0.6553164013884003
