edge_type,source_node_id,target_node_id,conflict_type,class_id,class_name,count,incorrect_rate,main_true_label,main_pred_label
conflict_to_class,conflict_type::high_scale_dominant_correct,class::0,high_scale_dominant_correct,0,Adenocarcinoma,93,0.0,Adenocarcinoma,Adenocarcinoma
conflict_to_class,conflict_type::consistent_correct_support,class::1,consistent_correct_support,1,NonAdenocarcinoma,48,0.0,NonAdenocarcinoma,NonAdenocarcinoma
conflict_to_class,conflict_type::weak_or_mixed_conflict,class::0,weak_or_mixed_conflict,0,Adenocarcinoma,25,0.04,Adenocarcinoma,Adenocarcinoma
conflict_to_class,conflict_type::high_scale_dominant_correct,class::1,high_scale_dominant_correct,1,NonAdenocarcinoma,10,0.0,NonAdenocarcinoma,NonAdenocarcinoma
conflict_to_class,conflict_type::consistent_wrong_class_drift,class::1,consistent_wrong_class_drift,1,NonAdenocarcinoma,8,1.0,Adenocarcinoma,NonAdenocarcinoma
conflict_to_class,conflict_type::high_scale_dominant_wrong,class::0,high_scale_dominant_wrong,0,Adenocarcinoma,5,1.0,NonAdenocarcinoma,Adenocarcinoma
conflict_to_class,conflict_type::consistent_correct_support,class::0,consistent_correct_support,0,Adenocarcinoma,2,0.0,Adenocarcinoma,Adenocarcinoma
conflict_to_class,conflict_type::weak_or_mixed_conflict,class::1,weak_or_mixed_conflict,1,NonAdenocarcinoma,2,0.0,NonAdenocarcinoma,NonAdenocarcinoma
conflict_to_class,conflict_type::low_scale_dominant_correct,class::0,low_scale_dominant_correct,0,Adenocarcinoma,1,0.0,Adenocarcinoma,Adenocarcinoma
