fold,test_auc_delta_saf_minus_peps,test_acc_delta_saf_minus_peps,test_f1_delta_saf_minus_peps,val_auc_delta_saf_minus_peps,balanced_acc_delta_saf_minus_peps,sensitivity_delta_saf_minus_peps,specificity_delta_saf_minus_peps,pr_auc_delta_saf_minus_peps
1,0.004261363636363424,0.0,0.0014247674990651715,-0.006155303030302983,0.011008522727272596,0.045454545454545414,-0.0234375,0.0167163669744953
2,-0.021780303030302983,-0.04123711340206193,-0.04411119896513249,0.00011752262310504857,-0.042258522727272596,-0.045454545454545414,-0.0390625,-0.0440267790335227
3,0.003408156070043411,-0.020618556701030744,-0.02469938016559059,0.009902171319494224,-0.029850746268656803,-0.05970149253731338,0.0,0.0059837264408315605
4,-0.002028155571462631,-0.010362694300518172,-0.012887286324786196,-0.006800286327845351,-0.018790264853256966,-0.045454545454545414,0.007874015748031593,0.0021634096314490092
5,0.0031615366261034117,-0.010362694300518172,-0.008324470599357148,-0.007634943181818121,0.010319732760677658,0.0757575757575758,-0.055118110236220375,0.02806666885106235
