proposal_radius,nms_radius,strategy,param_name,param_value,empty_anchor_ratio,median_raw_child_count,median_used_child_count,mean_used_child_count,p75_used_child_count,p90_used_child_count,mean_fallback_ratio,median_fallback_ratio,nearest_topm_distance_median,used_child_distance_mean,anchor_rows
512.0,512.0,bbox_containment,bbox_expand,2.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
512.0,512.0,bbox_then_nearest,bbox_expand,2.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9544270833333334,0.9375,1448.1546878700494,1881.3213787697314,48
512.0,512.0,bbox_containment,bbox_expand,3.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
512.0,512.0,bbox_then_nearest,bbox_expand,3.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9544270833333334,0.9375,1448.1546878700494,1881.3213787697314,48
512.0,512.0,bbox_containment,bbox_expand,4.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
512.0,512.0,bbox_then_nearest,bbox_expand,4.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9544270833333334,0.9375,1448.1546878700494,1881.3213787697314,48
512.0,512.0,bbox_containment,bbox_expand,6.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
512.0,512.0,bbox_then_nearest,bbox_expand,6.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9544270833333334,0.9375,1448.1546878700494,1881.3213787697314,48
512.0,512.0,bbox_containment,bbox_expand,8.0,0.020833333333333332,9.0,9.0,7.0,9.0,9.0,0.0,0.0,1448.1546878700494,1109.9006263852016,48
512.0,512.0,bbox_then_nearest,bbox_expand,8.0,0.0,9.0,16.0,16.0,16.0,16.0,0.5625,0.4375,1448.1546878700494,1881.3213787697314,48
512.0,512.0,bbox_containment,bbox_expand,10.0,0.020833333333333332,9.0,9.0,7.0625,9.0,9.0,0.0,0.0,1448.1546878700494,1116.0831639087287,48
512.0,512.0,bbox_then_nearest,bbox_expand,10.0,0.0,9.0,16.0,16.0,16.0,16.0,0.55859375,0.4375,1448.1546878700494,1881.3213787697314,48
512.0,512.0,center_radius,high_radius,512.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
512.0,512.0,center_radius,high_radius,1024.0,0.020833333333333332,5.0,5.0,3.9166666666666665,5.0,5.0,0.0,0.0,1448.1546878700494,859.5063829787234,48
512.0,512.0,center_radius,high_radius,2048.0,0.0,12.5,12.5,10.25,13.0,13.0,0.0,0.0,1448.1546878700494,1419.6636323078817,48
512.0,512.0,center_radius,high_radius,4096.0,0.0,42.5,16.0,15.645833333333334,16.0,16.0,0.0,0.0,1448.1546878700494,1844.7218399590954,48
512.0,512.0,center_radius,high_radius,8192.0,0.0,141.5,16.0,16.0,16.0,16.0,0.0,0.0,1448.1546878700494,1881.3213787697314,48
512.0,1024.0,bbox_containment,bbox_expand,2.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
512.0,1024.0,bbox_then_nearest,bbox_expand,2.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9544270833333334,0.9375,1448.1546878700494,1881.3213787697314,48
512.0,1024.0,bbox_containment,bbox_expand,3.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
512.0,1024.0,bbox_then_nearest,bbox_expand,3.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9544270833333334,0.9375,1448.1546878700494,1881.3213787697314,48
512.0,1024.0,bbox_containment,bbox_expand,4.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
512.0,1024.0,bbox_then_nearest,bbox_expand,4.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9544270833333334,0.9375,1448.1546878700494,1881.3213787697314,48
512.0,1024.0,bbox_containment,bbox_expand,6.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
512.0,1024.0,bbox_then_nearest,bbox_expand,6.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9544270833333334,0.9375,1448.1546878700494,1881.3213787697314,48
512.0,1024.0,bbox_containment,bbox_expand,8.0,0.020833333333333332,9.0,9.0,7.0,9.0,9.0,0.0,0.0,1448.1546878700494,1109.9006263852016,48
512.0,1024.0,bbox_then_nearest,bbox_expand,8.0,0.0,9.0,16.0,16.0,16.0,16.0,0.5625,0.4375,1448.1546878700494,1881.3213787697314,48
512.0,1024.0,bbox_containment,bbox_expand,10.0,0.020833333333333332,9.0,9.0,7.0625,9.0,9.0,0.0,0.0,1448.1546878700494,1116.0831639087287,48
512.0,1024.0,bbox_then_nearest,bbox_expand,10.0,0.0,9.0,16.0,16.0,16.0,16.0,0.55859375,0.4375,1448.1546878700494,1881.3213787697314,48
512.0,1024.0,center_radius,high_radius,512.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
512.0,1024.0,center_radius,high_radius,1024.0,0.020833333333333332,5.0,5.0,3.9166666666666665,5.0,5.0,0.0,0.0,1448.1546878700494,859.5063829787234,48
512.0,1024.0,center_radius,high_radius,2048.0,0.0,12.5,12.5,10.25,13.0,13.0,0.0,0.0,1448.1546878700494,1419.6636323078817,48
512.0,1024.0,center_radius,high_radius,4096.0,0.0,42.5,16.0,15.645833333333334,16.0,16.0,0.0,0.0,1448.1546878700494,1844.7218399590954,48
512.0,1024.0,center_radius,high_radius,8192.0,0.0,141.5,16.0,16.0,16.0,16.0,0.0,0.0,1448.1546878700494,1881.3213787697314,48
1024.0,512.0,bbox_containment,bbox_expand,2.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
1024.0,512.0,bbox_then_nearest,bbox_expand,2.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9544270833333334,0.9375,1448.1546878700494,1881.3213787697314,48
1024.0,512.0,bbox_containment,bbox_expand,3.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
1024.0,512.0,bbox_then_nearest,bbox_expand,3.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9544270833333334,0.9375,1448.1546878700494,1881.3213787697314,48
1024.0,512.0,bbox_containment,bbox_expand,4.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
1024.0,512.0,bbox_then_nearest,bbox_expand,4.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9544270833333334,0.9375,1448.1546878700494,1881.3213787697314,48
1024.0,512.0,bbox_containment,bbox_expand,6.0,0.2708333333333333,1.0,1.0,0.7291666666666666,1.0,1.0,0.0,0.0,1448.1546878700494,0.0,48
1024.0,512.0,bbox_then_nearest,bbox_expand,6.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9544270833333334,0.9375,1448.1546878700494,1881.3213787697314,48
