config_id,status,visual_ratio_mean,visual_ratio_median,visual_ratio_gt_0_5_percent,concept_ratio_mean,concept_ratio_median,csg_ratio_mean,full_margin_mean,concept_margin_mean,visual_margin_mean,csg_margin_mean,delta_visual_ratio_vs_step58C_fold0,delta_concept_ratio_vs_step58C_fold0,delta_csg_ratio_vs_step58C_fold0
A,completed,0.2505559669303487,0.20692724734544754,0.1134020618556701,0.7494440333744914,0.7930727303028107,0.0009453565191838325,7.085588302808938,4.044144150522566,3.0410378286519,0.007214213375508613,-0.06862942519904941,0.0686294224458871,0.0001882906335472325
B,completed,0.333155719814198,0.304900124669075,0.12886597938144329,0.6668442768073574,0.6950998604297638,0.0026094828668300177,8.50921031126042,4.184182702266064,4.323627634300399,0.019933286280798504,0.013970327684799888,-0.01397033412124693,0.0018524169811934177
C,completed,0.3863141375123379,0.3738812953233719,0.14948453608247422,0.613685862958124,0.6261187195777893,0.00015964843640917418,8.773270049660477,4.073787809647236,4.700263028445932,0.0015918953559054157,0.06712874538293978,-0.0671287479704803,-0.0005974174492274258
D,completed,0.3899993172165045,0.33559852838516235,0.22164948453608246,0.6100006861247352,0.6644014716148376,0.0015095799715570991,8.140796403909468,3.779271030241681,4.36115490483869,0.008380107975717317,0.07081392508710638,-0.07081392480386905,0.0007525140859204991
E,completed,0.3917592243416254,0.2904631495475769,0.26288659793814434,0.6082407762824568,0.7095368504524231,0.0010219943035978533,7.365093907130134,3.837682726456947,3.5268037707074402,0.0018826289751720567,0.0725738322122273,-0.07257383464614753,0.0002649284179612533
F,completed,0.3992925728047171,0.34087882936000824,0.211340206185567,0.600707429931643,0.6591211557388306,0.0007053189917710886,7.924484232959059,4.021570015353026,3.9003620259847835,-0.00041860669548863296,0.08010718067531897,-0.08010718099696124,-5.174689386551142e-05
G,completed,0.3574583895082019,0.32874254882335663,0.13402061855670103,0.6425416085139378,0.6712574064731598,0.0025228971725548186,8.47748551517725,3.9831838941912063,4.4928924441337585,0.018454154982764426,0.0382729973788038,-0.03827300241466647,0.0017658312869182186
H,skipped,,,,,,,,,,,,,
