fold,epoch,train_loss,train_acc,train_auc,train_f1,val_loss,val_acc,val_auc,val_f1,duration_seconds
1,1,0.4870543277999065,0.8206896551724138,0.8862818027143591,0.7936366746493329,0.4289162422520752,0.865979381443299,0.9622395833333334,0.8593889384478144,15.78
1,2,0.28966527799754566,0.9189655172413793,0.9594824516282199,0.909564709668216,0.4026959011926479,0.8505154639175257,0.9572679924242424,0.8170227989722574,16.95
1,3,0.22000687750104558,0.9344827586206896,0.9763383848375737,0.9273269233305637,0.3730285409645936,0.8969072164948454,0.9609375000000001,0.88043880192284,16.66
1,4,0.2278156553278677,0.9258620689655173,0.9759822735725874,0.9178629886147696,0.3776240381988284,0.8969072164948454,0.9602272727272727,0.8814760508308895,16.42
1,5,0.15274174828463682,0.9620689655172414,0.988828657724317,0.9580263157894737,0.3405090366170943,0.8969072164948454,0.9541903409090909,0.8814760508308895,17.35
1,6,0.12145704578373437,0.9586206896551724,0.9930888035980427,0.9539901634142471,0.46810889395239486,0.8969072164948454,0.9504024621212122,0.8882488479262672,17.1
1,7,0.11477699147151976,0.9637931034482758,0.9945396272702094,0.9597901693896888,0.4231081080619071,0.9020618556701031,0.95703125,0.8887983829607506,14.47
1,8,0.07952321649891332,0.9724137931034482,0.9974017066962106,0.9695454127777996,0.4592537055874889,0.9123711340206185,0.953716856060606,0.9012899943132502,16.32
1,9,0.0815465927316209,0.9724137931034482,0.9972302457167728,0.9694736842105263,0.4712867453735149,0.9175257731958762,0.954782196969697,0.9067307692307692,17.03
1,10,0.04209648819754687,0.9913793103448276,0.9993932919189121,0.9904262308070688,0.572198607167499,0.8711340206185567,0.9446022727272727,0.8512041724190826,15.86
1,11,0.09606187067294177,0.9689655172413794,0.9961091546973714,0.9655759110513196,0.5813099393837415,0.8814432989690721,0.9473248106060606,0.8693602693602693,14.59
1,12,0.04905170345794839,0.9793103448275862,0.9992086416333636,0.9769950817071236,0.6796121569767417,0.865979381443299,0.9533617424242424,0.8416823603264281,15.27
1,13,0.0475486973205487,0.9879310344827587,0.9990899378783682,0.9865967231298962,0.5324137011393947,0.9020618556701031,0.9562026515151515,0.8887983829607506,13.22
1,14,0.015281733634238381,0.9982758620689656,1.0,0.9980898369445295,0.630999934636832,0.9072164948453608,0.9501657196969697,0.8950721153846154,16.37
1,15,0.010117572281455194,1.0,1.0,1.0,0.6400658720938117,0.9020618556701031,0.9531841856060606,0.8920802225150051,15.98
1,16,0.006510624089586882,1.0,1.0,1.0,0.6415893353848342,0.9020618556701031,0.9556699810606061,0.8896770524677502,15.39
1,17,0.005528702460673355,1.0,1.0,1.0,0.6917870305891315,0.9020618556701031,0.9532433712121212,0.8913165266106442,15.57
1,18,0.004675800600657097,1.0,1.0,1.0,0.6899696226143918,0.9020618556701031,0.9559659090909092,0.8913165266106442,15.94
1,19,0.11948020356803839,0.9758620689655172,0.9928382067819412,0.9732257085954708,0.501999236055912,0.8969072164948454,0.9496922348484849,0.8843172331544424,16.85
1,20,0.07977284258242812,0.9793103448275862,0.9975072211450955,0.9769950817071236,0.5422743242632294,0.8865979381443299,0.9459635416666667,0.8727489564698867,15.36
