metric_name,count,mean,std,median,min,max
full_margin,194,8.199145471926817,4.669496631609043,9.554639339447021,-9.139688491821289,14.620269775390625
concept_margin,194,3.8452031607019532,2.210896635217199,4.390694618225098,-4.61570405960083,7.492303848266602
visual_margin,194,4.352823631665141,2.5571667647724503,4.951143026351929,-5.528800010681152,8.179096221923828
csg_margin,194,0.0006862722442859842,0.005648517308094711,0.0008396987104788423,-0.01469099335372448,0.02646084502339363
full_top1_margin,194,8.819547577617096,3.353470707874852,9.554639339447021,0.2304089069366455,14.620269775390625
concept_top1_margin,194,4.17317082825088,1.5027629609898188,4.462144136428833,0.029042348265647888,7.492303848266602
visual_top1_margin,194,4.6495277082797175,1.9667403288635907,4.983036041259766,0.008651137351989746,8.179096221923828
csg_top1_margin,194,0.0043243897608337325,0.003698157726425309,0.003822910482995212,1.7688143998384476e-06,0.02646084502339363
visual_contribution_ratio,194,0.4842594218219525,0.20796253552363708,0.3950648456811905,0.03074347786605358,0.9937891960144043
concept_contribution_ratio,194,0.5157405825826272,0.20796253467807074,0.6049351990222931,0.006210851948708296,0.9692565202713013
csg_contribution_ratio,194,0.000748880430498418,0.0012131853394855806,0.0005556946853175759,5.035268713982077e-06,0.015127450227737427
