comparison,variant,reference_variant,current_status,reference_status,test_auc_delta,test_acc_delta,test_f1_delta,balanced_acc_delta,sensitivity_delta,specificity_delta,pr_auc_delta,sens_spec_gap_delta,sens_spec_min_delta
lh_l0001_m0 - skeleton,lh_l0001_m0,skeleton,ok,ok,-0.007003967167562242,-0.006185567010309478,-0.007525775499917731,-0.010497021090859149,-0.024106739032112134,0.003112696850393726,-0.016988152273898827,0.02721943588250586,-0.024106739032112134
lh_l0005_m0 - skeleton,lh_l0005_m0,skeleton,ok,ok,-0.009713740041738417,-0.01446503926072329,-0.016100246732248524,-0.015353036958193789,-0.018046132971506146,-0.012659940944881876,-0.028543426214027057,0.00538619202662427,-0.018046132971506146
lh_l001_m0 - skeleton,lh_l001_m0,skeleton,ok,ok,-0.0021357844813157945,0.005176005555258656,0.00520602301490547,0.002508281672347068,-0.005970149253731405,0.010986712598425208,-0.009023891461667155,0.016956861852156613,-0.005970149253731405
lh_l0005_m002 - skeleton,lh_l0005_m002,skeleton,ok,ok,-0.008014828661809026,-0.006190908605309575,-0.007743883022233944,-0.011224771031207559,-0.027137042062415295,0.004687499999999956,-0.019547590175361895,0.03182454206241525,-0.027137042062415295
lh_l001_m002 - skeleton,lh_l001_m002,skeleton,ok,ok,-0.014068904760378365,-0.012376475615618832,-0.01498598703604892,-0.018134422398565442,-0.0361827227498871,-8.612204724411932e-05,-0.04422959509536284,0.03609660070264298,-0.0361827227498871
lh_l001_m005 - skeleton,lh_l001_m005,skeleton,ok,ok,-0.006595061334344732,-0.008295497035414878,-0.008745923306240577,-0.008502909241373535,-0.009045680687471913,-0.007960137795275712,-0.02738944608635485,0.0010855428921962007,-0.009045680687471913
lh_l005_m0 - skeleton,lh_l005_m0,skeleton,missing,ok,,,,,,,,,
lh_l005_m005 - skeleton,lh_l005_m005,skeleton,missing,ok,,,,,,,,,
