fold,learned_alpha_final,dynamic_csg_enabled,dynamic_csg_scale,dynamic_csg_norm,dynamic_csg_clip,dynamic_delta_mean,dynamic_delta_std,dynamic_adj_mean,dynamic_adj_std,static_csg_logits_mean,dynamic_csg_logits_mean,csg_logits_delta_mean,csg_logits_delta_abs_mean,status,anomaly_count
0,0.04186118021607399,1.0,1.0,softmax,5.0,0.006944444421774794,0.0001581504169285067,0.014504514058533403,0.022267842358074236,0.00583349148152977,0.0058832573191354,4.9765817638939385e-05,0.00011726535263058151,completed,0
1,0.0011988121550530195,1.0,1.0,softmax,5.0,0.006944444421774794,9.49916648377692e-05,0.002591719153606016,0.012846103528533707,-1.9130510773936396e-05,-1.8393888924563107e-05,7.366232440881035e-07,1.4677654441406161e-06,completed,0
2,-0.013009181246161461,1.0,1.0,softmax,5.0,0.006944444409773215,0.00013479467535719393,-0.007413554326967173,0.026189969103668154,-8.847557505431883e-05,-9.902583301060152e-05,-1.0550232617010197e-05,2.6261082364295155e-05,completed,0
3,0.033048518002033234,1.0,1.0,softmax,5.0,0.006944444414150993,0.00010755202980136614,0.012052734256987436,0.023778582426087227,0.002300583148767829,0.0023126693716839105,1.2086220083924413e-05,4.176970900601431e-05,completed,0
4,0.025544194504618645,1.0,1.0,softmax,5.0,0.006944444431040263,0.00011575167260972368,0.014299737675588366,0.007059954068203664,0.002280411414091519,0.0023086234884049472,2.821205279657465e-05,4.3066618003875834e-05,completed,0
