fold,test_auc_delta_residual_minus_peps,test_auc_delta_residual_minus_saf,test_acc_delta_residual_minus_peps,test_acc_delta_residual_minus_saf,test_f1_delta_residual_minus_peps,test_f1_delta_residual_minus_saf,val_auc_delta_residual_minus_peps,val_auc_delta_residual_minus_saf,balanced_acc_delta_residual_minus_peps,balanced_acc_delta_residual_minus_saf,sensitivity_delta_residual_minus_peps,sensitivity_delta_residual_minus_saf,specificity_delta_residual_minus_peps,specificity_delta_residual_minus_saf,pr_auc_delta_residual_minus_peps,pr_auc_delta_residual_minus_saf
1,0.004853219696969835,0.0005918560606064105,0.010309278350515205,0.010309278350515205,0.009459964203851978,0.008035196704786807,-0.005800189393939448,0.00035511363636353543,-0.003196022727272707,-0.014204545454545303,-0.045454545454545414,-0.09090909090909083,0.0390625,0.0625,0.01464840745667273,-0.0020679595178225707
2,0.006628787878787734,0.028409090909090717,-0.020618556701031188,0.020618556701030744,-0.022420617722689218,0.021690581242443274,0.011164649194969956,0.011047126571864907,-0.022964015151515027,0.01929450757575757,-0.030303030303030387,0.015151515151515027,-0.015625,0.0234375,0.0022292481260853814,0.04625602715960808
3,0.004465859677988071,0.00105770360794466,-0.015463917525773141,0.005154639175257603,-0.017845360801339805,0.006854019364250785,0.01336196611787177,0.0034597947983775468,-0.01886238100834392,0.010988365260312882,-0.02985074626865669,0.02985074626865669,-0.007874015748031371,-0.007874015748031371,0.003971451359627176,-0.0020122750812043844
4,-0.009067048437127245,-0.007038892865664614,-0.025906735751295207,-0.015544041450777035,-0.03097570365458291,-0.018088417329796713,-0.0008351228823669787,0.005965163445478372,-0.037878787878787845,-0.01908852302553088,-0.07575757575757569,-0.030303030303030276,0.0,-0.007874015748031593,0.0033379066714297467,0.0011744970399807375
5,-0.008530183727034402,-0.011691720353137813,-0.010362694300518172,0.0,-0.008324470599357148,0.0,-0.007990056818181768,-0.00035511363636364646,0.010319732760677658,0.0,0.0757575757575758,0.0,-0.055118110236220375,0.0,-0.03004363305061497,-0.05811030190167732
