config_id,fold,status,exp_code,alpha_init,learned_alpha_final,low_topk,high_max_per_low,patch_footprint_ratio,scale_ratio,l2h_fusion,l2h_aggregate,l2h_score_mode,ACC,BACC,F1,AUC,PR_AUC,delta_acc_vs_step58C_fold0,delta_auc_vs_step58C_fold0,delta_f1_vs_step58C_fold0,delta_pr_auc_vs_step58C_fold0
A,0,completed,rce_v2_rcD_l2h_A_fold0,0.001,0.004152570851147175,8,16,4.0,1.0,high_region_residual,mean,low_prompt_max,0.9226804123711341,0.9120501893939394,0.9135652122256215,0.9747869318181818,0.9528239271742597,-0.005154587628865892,0.006391931818181762,-0.00482378777437853,0.007530927174259627
B,0,completed,rce_v2_rcD_l2h_B_fold0,0.01,0.012710295617580414,8,16,4.0,1.0,high_region_residual,mean,low_prompt_max,0.9226804123711341,0.9120501893939394,0.9135652122256215,0.9747869318181819,0.9529211634389264,-0.005154587628865892,0.006391931818181873,-0.00482378777437853,0.007628163438926361
C,0,completed,rce_v2_rcD_l2h_C_fold0,0.05,0.04216150939464569,8,16,4.0,1.0,high_region_residual,mean,low_prompt_max,0.9226804123711341,0.9083806818181819,0.9129029361587502,0.9680397727272727,0.9396965296427425,-0.005154587628865892,-0.0003552272727272987,-0.005486063841249833,-0.005596470357257521
D,0,completed,rce_v2_rcD_l2h_D_fold0,0.01,0.010294951498508453,16,16,4.0,1.0,high_region_residual,mean,low_prompt_max,0.9226804123711341,0.9083806818181819,0.9129029361587502,0.9783380681818181,0.9581381647525238,-0.005154587628865892,0.009943068181818115,-0.005486063841249833,0.01284516475252373
E,0,completed,rce_v2_rcD_l2h_E_fold0,0.01,0.00995725765824318,8,32,4.0,1.0,high_region_residual,mean,low_prompt_max,0.9329896907216495,0.9161931818181819,0.9239146830784083,0.9789299242424243,0.9571569115054306,0.005154690721649535,0.010534924242424304,0.005525683078408283,0.011863911505430536
F,0,completed,rce_v2_rcD_l2h_F_fold0,0.01,0.010335818864405155,8,16,6.0,1.0,high_region_residual,mean,low_prompt_max,0.9329896907216495,0.9198626893939394,0.9245158780042502,0.9753787878787878,0.9540492006126352,0.005154690721649535,0.006983787878787839,0.006126878004250158,0.008756200612635157
G,0,completed,rce_v2_rcD_l2h_G_fold0,0.01,0.012237261049449444,16,32,6.0,1.0,high_region_residual,mean,low_prompt_max,0.9175257731958762,0.8934659090909092,0.9051808406647117,0.9699337121212122,0.950649359607235,-0.010309226804123717,0.001538712121212149,-0.013208159335288294,0.005356359607234906
H,0,skipped,rce_v2_rcD_l2h_H_fold0,0.01,,8,32,8.0,1.0,high_region_residual,mean,low_prompt_max,,,,,,,,,
