metric,test_auc,test_f1,test_acc,val_auc,balanced_acc,sensitivity,specificity,pr_auc
mean,0.970407196969697,0.9366144889654557,0.9432989690721649,0.9462594696969697,0.9350142045454546,0.9090909090909091,0.9609375,0.945615945961251
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
