metric,test_auc,test_f1,test_acc,val_auc,balanced_acc,sensitivity,specificity,pr_auc
mean,0.9753787878787878,0.9245158780042502,0.9329896907216495,0.943359375,0.9198626893939394,0.8787878787878788,0.9609375,0.9540492006126352
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
