experiment,train_dir,eval_dir,fold,test_auc,test_acc,test_f1,val_auc,val_acc,balanced_acc,sensitivity,specificity,pr_auc
Concept-12 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_embedding_mean_s1,,1,0.9815340909090908,0.9536082474226804,0.948139127335373,0.9608191287878788,0.922680412371134,0.9464962121212122,0.9242424242424242,0.96875,0.9652243988867548
Concept-12 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_embedding_mean_s1,,2,0.963660037878788,0.9072164948453608,0.9006147540983607,0.9797861088259492,0.9690721649484536,0.9186789772727272,0.9545454545454546,0.8828125,0.9423797219220352
Concept-12 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_embedding_mean_s1,,3,0.9679163238923492,0.9484536082474226,0.9417067307692308,0.9631352899069436,0.9378238341968912,0.9324244917146552,0.8805970149253731,0.984251968503937,0.9688619501965628
Concept-12 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_embedding_mean_s1,,4,0.9575280362681938,0.927461139896373,0.918810096153846,0.9594368885707468,0.9378238341968912,0.9157718921498448,0.8787878787878788,0.952755905511811,0.9390762696290554
Concept-12 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_embedding_mean_s1,,5,0.9587807205917442,0.932642487046632,0.9248914833108816,0.986505681818182,0.9536082474226804,0.9233476497256023,0.8939393939393939,0.952755905511811,0.890924589497402
Concept-14 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept14_embedding_mean_s1,,1,0.978693181818182,0.9278350515463918,0.9202021389117404,0.970525568181818,0.922680412371134,0.9232954545454546,0.9090909090909092,0.9375,0.9565717446140604
Concept-14 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept14_embedding_mean_s1,,2,0.9607007575757576,0.9020618556701032,0.8953881084149283,0.9764954753790104,0.9587628865979382,0.9147727272727272,0.9545454545454546,0.875,0.9374745105966236
Concept-14 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept14_embedding_mean_s1,,3,0.9674462333999292,0.9484536082474226,0.9421586165772212,0.9618229539489382,0.927461139896373,0.9359501704078036,0.8955223880597015,0.9763779527559056,0.9691914289250592
Concept-14 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept14_embedding_mean_s1,,4,0.9625387735623956,0.9378238341968912,0.9304086538461538,0.958005249343832,0.9378238341968912,0.9272846575996182,0.8939393939393939,0.9606299212598424,0.9344735075792
Concept-14 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept14_embedding_mean_s1,,5,0.9764376043903602,0.9430051813471504,0.936446639724592,0.9766808712121212,0.9484536082474226,0.9348604151753758,0.9090909090909092,0.9606299212598424,0.9124888303974148
