variant,fold,n,gate_mean,gate_std,gate_min,gate_max,gate_p10,gate_p25,gate_p50,gate_p75,gate_p90,gate_range,fraction_gate_below_0.5,fraction_gate_above_0.9
prarc_v1_g05,0,194,0.5389913231441655,0.002254884619350902,0.5274378657341003,0.540727972984314,0.5379923820495606,0.5386553108692169,0.5398376882076263,0.5399374812841415,0.5400257408618927,0.013290107250213623,0.0,0.0
prarc_v1_g05,1,194,0.509735577806984,0.005085901037781441,0.488140344619751,0.5143099427223206,0.508133715391159,0.5101742148399353,0.5110099017620087,0.5119716972112656,0.5127289533615113,0.02616959810256958,0.08762886597938144,0.0
prarc_v1_g05,2,194,0.5055872751879937,0.0022854247117606863,0.4975505769252777,0.5077527165412903,0.501438570022583,0.5057868808507919,0.5062331259250641,0.5067282021045685,0.5071108281612396,0.010202139616012573,0.06701030927835051,0.0
prarc_v1_g05,3,193,0.5195062923307864,0.0024293943890463863,0.5086655616760254,0.5213048458099365,0.5161447763442993,0.5194737315177917,0.5203911662101746,0.5207259654998779,0.5209409117698669,0.012639284133911133,0.0,0.0
prarc_v1_g05,4,193,0.498234737567951,0.0017875980461718544,0.4944063425064087,0.49982303380966187,0.4962679028511047,0.4967285692691803,0.4994850158691406,0.49965715408325195,0.49975818395614624,0.005416691303253174,1.0,0.0
prarc_v1_g08,0,194,0.7962321325675729,0.0009721758520056307,0.7941181659698486,0.7972400188446045,0.7949375212192535,0.7950238138437271,0.7968656718730927,0.7969891130924225,0.7970467507839203,0.0031218528747558594,0.0,0.0
prarc_v1_g08,1,194,0.7856864517497033,0.0015368869309503733,0.7810569405555725,0.7869437336921692,0.7821394622325897,0.7860652953386307,0.7862011194229126,0.7863733470439911,0.7865484833717347,0.00588679313659668,0.0,0.0
prarc_v1_g08,2,194,0.7833815840716215,0.0015509557230256093,0.779805600643158,0.784464418888092,0.7804255485534668,0.7837757766246796,0.7841888070106506,0.7842612266540527,0.7843140423297882,0.004658818244934082,0.0,0.0
prarc_v1_g08,3,193,0.7845128126094996,0.0009125330376590923,0.7822487354278564,0.7852588891983032,0.7833412289619446,0.7836300730705261,0.7850692868232727,0.7851152420043945,0.7851515889167786,0.0030101537704467773,0.0,0.0
prarc_v1_g08,4,193,0.7862575718158268,0.0007651415616111872,0.7838753461837769,0.7868266105651855,0.7843861222267151,0.7864068150520325,0.786536455154419,0.7866458296775818,0.786715817451477,0.0029512643814086914,0.0,0.0
prarc_v1_g10,0,194,0.9886140528413438,6.938035217104946e-05,0.9884797930717468,0.988654613494873,0.9884822726249695,0.9886477589607239,0.9886506795883179,0.9886518120765686,0.9886528849601746,0.0001748204231262207,0.0,1.0
prarc_v1_g10,1,194,0.9883253457619972,5.738637384068061e-05,0.988163411617279,0.9883766770362854,0.9882596731185913,0.9882601499557495,0.9883624911308289,0.9883650243282318,0.9883668303489686,0.00021326541900634766,0.0,1.0
prarc_v1_g10,2,194,0.988092888261854,5.714566287264276e-05,0.9879846572875977,0.9881895780563354,0.9879887104034424,0.9880430102348328,0.9881215691566467,0.9881237149238586,0.9881268799304962,0.00020492076873779297,0.0,1.0
prarc_v1_g10,3,193,0.9879827477771383,3.533325770246162e-05,0.9879260063171387,0.9880374670028687,0.9879378914833069,0.9879427552223206,0.9880079030990601,0.9880118370056152,0.988015353679657,0.00011146068572998047,0.0,1.0
prarc_v1_g10,4,193,0.988351365136359,4.256796220874251e-05,0.9882858395576477,0.9883914589881897,0.9882894992828369,0.9882979989051819,0.9883792400360107,0.9883837699890137,0.9883865237236023,0.00010561943054199219,0.0,1.0
