variant,fold,condition_name,condition_value,n,gate_mean,gate_std
prarc_v1_g05,3,low_high_sign_agreement,1.0,142,0.5203167254656134,0.001245110597718379
prarc_v1_g05,4,correct,0.0,18,0.4981073521905475,0.0018029318528558103
prarc_v1_g05,4,correct,1.0,175,0.49824784006391254,0.001785497992014138
prarc_v1_g05,4,visual_concept_conflict,0.0,173,0.4986304022328702,0.0014048331959871693
prarc_v1_g05,4,visual_concept_conflict,1.0,20,0.49481223821640014,0.0008352930241642552
prarc_v1_g05,4,low_high_sign_agreement,0.0,76,0.4961621212331872,0.000929764193942403
prarc_v1_g05,4,low_high_sign_agreement,1.0,117,0.4995810524520711,0.00032669874597150136
prarc_v1_g08,0,correct,0.0,26,0.7953036358723273,0.0006473977475631476
prarc_v1_g08,0,correct,1.0,168,0.7963758284846941,0.0009340563498235067
prarc_v1_g08,0,visual_concept_conflict,0.0,188,0.7962748214919516,0.0009428253748496812
prarc_v1_g08,0,visual_concept_conflict,1.0,6,0.7948945462703705,0.0009273706147081544
prarc_v1_g08,0,low_high_sign_agreement,0.0,69,0.7949416248694711,0.00019146138292536422
prarc_v1_g08,0,low_high_sign_agreement,1.0,125,0.796944492816925,0.00014084370041382715
prarc_v1_g08,1,correct,0.0,22,0.7846611846577037,0.002244737428255311
prarc_v1_g08,1,correct,1.0,172,0.7858175905637963,0.0013667432776047887
prarc_v1_g08,1,visual_concept_conflict,0.0,168,0.7862823953231176,0.00022680052814643117
prarc_v1_g08,1,visual_concept_conflict,1.0,26,0.7818357394291804,0.0004112778385747444
prarc_v1_g08,1,low_high_sign_agreement,0.0,52,0.7847300527187494,0.00212863947716731
prarc_v1_g08,1,low_high_sign_agreement,1.0,142,0.7860366823807569,0.0010536066829868024
prarc_v1_g08,2,correct,0.0,13,0.78240200647941,0.001560972052290022
prarc_v1_g08,2,correct,1.0,181,0.783451940473272,0.001526222572571996
prarc_v1_g08,2,visual_concept_conflict,0.0,186,0.783458181927281,0.0015085375065983255
prarc_v1_g08,2,visual_concept_conflict,1.0,8,0.781600683927536,0.001454231555925842
prarc_v1_g08,2,low_high_sign_agreement,0.0,40,0.7803744122385978,0.00024685729045963205
prarc_v1_g08,2,low_high_sign_agreement,1.0,154,0.7841626676646146,0.00023555691977213461
prarc_v1_g08,3,correct,0.0,16,0.783981267362833,0.0010329110635634551
prarc_v1_g08,3,correct,1.0,177,0.7845608618973339,0.0008852671000092217
prarc_v1_g08,3,visual_concept_conflict,0.0,178,0.784692971559053,0.0006915568397902627
prarc_v1_g08,3,visual_concept_conflict,1.0,15,0.7823749264081319,0.000288662255009025
prarc_v1_g08,3,low_high_sign_agreement,0.0,58,0.7832327557021174,0.0005348379783650526
prarc_v1_g08,3,low_high_sign_agreement,1.0,135,0.785062762984523,0.0002473191950265127
prarc_v1_g08,4,correct,0.0,21,0.7857813012032282,0.0009934272160429902
prarc_v1_g08,4,correct,1.0,172,0.7863157211348067,0.0007108800704245012
prarc_v1_g08,4,visual_concept_conflict,0.0,171,0.786520304735641,0.00022675567085346992
prarc_v1_g08,4,visual_concept_conflict,1.0,22,0.7842154204845428,0.00017128337979512015
prarc_v1_g08,4,low_high_sign_agreement,0.0,66,0.786037187684666,0.0010870996561852429
prarc_v1_g08,4,low_high_sign_agreement,1.0,127,0.7863721021517055,0.0004870037578424264
prarc_v1_g10,0,correct,0.0,17,0.9885613742996665,8.467017660698522e-05
prarc_v1_g10,0,correct,1.0,177,0.9886191123622959,6.553839286246978e-05
prarc_v1_g10,0,visual_concept_conflict,0.0,192,0.9886148994167646,6.924056444014272e-05
prarc_v1_g10,0,visual_concept_conflict,1.0,2,0.9885327816009521,2.384185791015625e-07
prarc_v1_g10,0,low_high_sign_agreement,0.0,43,0.9884844158971032,1.0739529551059036e-05
prarc_v1_g10,0,low_high_sign_agreement,1.0,151,0.988650969322154,1.7298074435910468e-06
prarc_v1_g10,1,correct,0.0,20,0.9882994204759598,7.238727372790804e-05
prarc_v1_g10,1,correct,1.0,174,0.9883283256799326,5.4619590582865706e-05
prarc_v1_g10,1,visual_concept_conflict,0.0,179,0.9883346251269293,4.7434102943372976e-05
prarc_v1_g10,1,visual_concept_conflict,1.0,15,0.9882146120071411,4.952339949517538e-05
prarc_v1_g10,1,low_high_sign_agreement,0.0,59,0.9882472278708119,3.1310498995798515e-05
prarc_v1_g10,1,low_high_sign_agreement,1.0,135,0.9883594861737004,2.171293864380417e-05
prarc_v1_g10,2,correct,0.0,16,0.9880886115133762,7.868280865557312e-05
prarc_v1_g10,2,correct,1.0,178,0.9880932726886835,5.47803013210344e-05
