experiment,train_dir,status,num_folds,test_auc_mean,test_auc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,val_auc_mean,val_auc_std,balanced_acc_mean,balanced_acc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,pr_auc_mean,pr_auc_std
Concept-12 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_embedding_mean_s1,ok,5,0.9658838419080332,0.0086519408400295,0.9338763954916935,0.0164637143392893,0.9268324383335385,0.0169157430743489,0.96993661958194,0.0110560149854411,0.9273438445968084,0.0111138268796421,0.906422433288105,0.0290510735084434,0.9482652559055118,0.0347535993751955,0.941293386026362,0.0278418049037916
Concept-12 MLP dynamic_gate,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_dynamic_gate_s1,ok,5,0.9654612501424517,0.0130564573134048,0.9287217563164362,0.0191280600181019,0.921509537032848,0.0210162325147941,0.970105544441358,0.0128339646328142,0.9255920786413316,0.0217137495696115,0.9154681139755766,0.041169873144262,0.9357160433070868,0.0248040161820558,0.9277278697425656,0.0337634569709822
Concept-12 PEPS topk=1 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk1_tau0.1_s1,ok,5,0.9652255121137332,0.0109156139489442,0.9266599006463327,0.0164071070712305,0.9184433783483577,0.0171673405835066,0.9687771965824066,0.0076084459057752,0.9175066028572244,0.0141480664591664,0.8882858435097241,0.033733537317398,0.9467273622047244,0.032097594553738,0.9419893370535756,0.0184478924614975
Concept-12 PEPS topk=3 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.1_s1,ok,5,0.9679909913790032,0.0074186713146275,0.9359542759467976,0.0061536704528453,0.928743826898643,0.0067265817058952,0.9710338952606332,0.0087422047012138,0.9281210631034164,0.005781919410869,0.9033016734509272,0.0122681575364838,0.9529404527559056,0.0109359706489482,0.9428298438113712,0.0202287457450665
Concept-12 PEPS topk=5 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.1_s1,ok,5,0.9694995378111232,0.0086143470801058,0.9359649591367984,0.0161210062770426,0.929148348492123,0.0167637832526574,0.9713647656825928,0.0060764218975451,0.9296360866346508,0.0103035711338185,0.9094075079149706,0.0132083975035362,0.9498646653543308,0.0298108640803815,0.9417620951618664,0.0207070283440902
Concept-12 PEPS topk=3 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.07_s1,ok,5,0.9681376915529724,0.0057594826796964,0.932845467656642,0.0073595975631648,0.9258103416147708,0.0074804250539302,0.9707898800111824,0.0105005568320859,0.9280057913278988,0.0045377923385745,0.9124830393487112,0.0195049292396576,0.9435285433070868,0.0193734568104573,0.938728778412751,0.0193060885176515
Concept-12 PEPS topk=3 tau=0.15,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.15_s1,ok,5,0.9613217327597872,0.0130834602190474,0.91839645318092,0.0123236466019343,0.90879741079252,0.0128504898264734,0.9719542888189688,0.0094476192082136,0.9069601132001054,0.0150577867588315,0.8703301673450927,0.0520375532842994,0.9435900590551182,0.0339374749480299,0.9345221198170864,0.0185553795222697
Concept-12 PEPS topk=5 tau=0.07,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.07_s1,ok,5,0.9683268962987496,0.0064888472653998,0.9390470594519524,0.0075947901490142,0.9321793068729096,0.0077404916904356,0.9729994068780116,0.0076200671548897,0.9312747008960208,0.0054453425671602,0.906422433288105,0.0290510735084434,0.9561269685039372,0.0244522243149278,0.9458663859196496,0.0141147693539249
Concept-12 PEPS topk=5 tau=0.15,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.15_s1,ok,5,0.9668576186711396,0.0066190628979543,0.9338977618716948,0.011410189569705,0.926994049670131,0.0114421751388447,0.9728429646239098,0.0076851594324195,0.9288116476271112,0.0053132442399778,0.9124830393487112,0.0217317654413691,0.945140255905512,0.0274271506784962,0.9366671934900096,0.0210504244883266
