experiment,train_dir,status,num_folds,test_auc_mean,test_auc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,val_auc_mean,val_auc_std,balanced_acc_mean,balanced_acc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,pr_auc_mean,pr_auc_std
Concept-12 embedding_mean,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_embedding_mean_s1,ok,5,0.9658838419080332,0.0086519408400295,0.9338763954916935,0.0164637143392893,0.9268324383335385,0.0169157430743489,0.96993661958194,0.0110560149854411,0.9273438445968084,0.0111138268796421,0.906422433288105,0.0290510735084434,0.9482652559055118,0.0347535993751955,0.941293386026362,0.0278418049037916
Concept-12 MLP dynamic_gate,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_dynamic_gate_s1,ok,5,0.9654612501424517,0.0130564573134048,0.9287217563164362,0.0191280600181019,0.921509537032848,0.0210162325147941,0.970105544441358,0.0128339646328142,0.9255920786413316,0.0217137495696115,0.9154681139755766,0.041169873144262,0.9357160433070868,0.0248040161820558,0.9277278697425656,0.0337634569709822
Concept-12 PEPS topk=1 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk1_tau0.1_s1,ok,5,0.9652255121137332,0.0109156139489442,0.9266599006463327,0.0164071070712305,0.9184433783483577,0.0171673405835066,0.9687771965824066,0.0076084459057752,0.9175066028572244,0.0141480664591664,0.8882858435097241,0.033733537317398,0.9467273622047244,0.032097594553738,0.9419893370535756,0.0184478924614975
Concept-12 PEPS topk=3 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk3_tau0.1_s1,ok,5,0.9679909913790032,0.0074186713146275,0.9359542759467976,0.0061536704528453,0.928743826898643,0.0067265817058952,0.9710338952606332,0.0087422047012138,0.9281210631034164,0.005781919410869,0.9033016734509272,0.0122681575364838,0.9529404527559056,0.0109359706489482,0.9428298438113712,0.0202287457450665
Concept-12 PEPS topk=5 tau=0.1,/xiangmu/ViLMIL/ViLa-MIL-main/trained_models/adeno_concept12_peps_topk5_tau0.1_s1,ok,5,0.9694995378111232,0.0086143470801058,0.9359649591367984,0.0161210062770426,0.929148348492123,0.0167637832526574,0.9713647656825928,0.0060764218975451,0.9296360866346508,0.0103035711338185,0.9094075079149706,0.0132083975035362,0.9498646653543308,0.0298108640803815,0.9417620951618664,0.0207070283440902
