metric_name,count,mean,std,median,min,max
full_margin,194,7.680167368392355,5.808802432021772,9.315030574798584,-14.835518836975098,17.075044631958008
concept_margin,194,4.432707235370715,3.1679275258616926,5.433333396911621,-8.499874114990234,9.956923484802246
visual_margin,194,3.247044133809731,2.825503677349494,3.8090500831604004,-6.336946487426758,8.130183219909668
csg_margin,194,0.004222061659375052,0.005461125179049838,0.005342069547623396,-0.024276211857795715,0.01866118051111698
full_top1_margin,194,8.782981527834824,3.9479604839072375,9.43975305557251,0.09049415588378906,17.075044631958008
concept_top1_margin,194,5.081064068779503,1.9665823584528443,5.463061571121216,0.17299747467041016,9.956923484802246
visual_top1_margin,194,3.8433377989711834,1.9379167166374927,3.8491978645324707,0.042349524796009064,8.130183219909668
csg_top1_margin,194,0.005920166722510836,0.003549833637579689,0.0058606823440641165,2.166524063795805e-05,0.024276211857795715
visual_contribution_ratio,194,0.24238978243029685,0.09469487778390195,0.25722163915634155,0.006917840335518122,0.5612372756004333
concept_contribution_ratio,194,0.757610220577299,0.09469487959536652,0.7427783608436584,0.43876272439956665,0.9930821657180786
csg_contribution_ratio,194,0.0005481409467643764,0.0004167059050286327,0.0006395737582352012,1.944692257893621e-06,0.0022127297706902027
