fold,test_auc,test_acc,test_f1,val_auc,val_acc,balanced_acc,sensitivity,specificity,pr_auc
1,0.9828361742424243,0.9432989690721649,0.9356201164509609,0.963186553030303,0.9226804123711341,0.9276751893939394,0.8787878787878788,0.9765625,0.9688684872849034
2,0.9661458333333333,0.9123711340206185,0.9047123746785704,0.9880126924432953,0.9639175257731959,0.9152462121212122,0.9242424242424242,0.90625,0.9354217724130305
3,0.9733223645551768,0.9381443298969072,0.9294801890221738,0.9784061083273682,0.9533678756476683,0.9174991185803267,0.8507462686567164,0.984251968503937,0.9737085336542755
4,0.9541875447387258,0.9119170984455959,0.8994329501915709,0.9671916010498688,0.9585492227979274,0.8894058697208304,0.8181818181818182,0.9606299212598425,0.9378796948158057
5,0.9634931997136721,0.927461139896373,0.9215447154471545,0.9781013257575758,0.9329896907216495,0.9339656406585541,0.9545454545454546,0.9133858267716536,0.9075968219934338
