metric_name,count,mean,std,median,min,max
full_margin,194,5.944961682730114,3.7003589908468557,5.915913820266724,-3.639268398284912,11.908568382263184
concept_margin,194,3.363010981110568,1.9723928314683303,3.4646410942077637,-2.4047393798828125,6.610738754272461
visual_margin,194,2.5839576509963607,1.8959511456895868,2.7239240407943726,-2.1416680812835693,6.070552825927734
csg_margin,194,0.0008318583329793872,0.023885443180026267,0.0007605493301525712,-0.05717998370528221,0.12782013416290283
full_top1_margin,194,6.146646319898133,3.354692994649908,5.915913820266724,0.023056507110595703,11.908568382263184
concept_top1_margin,194,3.4688655668773603,1.779648285372852,3.4646410942077637,0.17646098136901855,6.610738754272461
visual_top1_margin,194,2.7574243257494317,1.6334255344978472,2.7239240407943726,0.004317730665206909,6.070552825927734
csg_top1_margin,194,0.01691599682419916,0.01688358479814327,0.01131915207952261,0.0001526817213743925,0.12782013416290283
visual_contribution_ratio,194,0.4042678091656441,0.2355109115175424,0.37085479497909546,0.000898699916433543,0.9968057870864868
concept_contribution_ratio,194,0.5957321896164957,0.23551091588506656,0.6291452050209045,0.003194193821400404,0.9991013407707214
csg_contribution_ratio,194,0.0020499674183812795,0.00292871305242792,0.001028409693390131,1.77897800313076e-05,0.01927158609032631
