slide_id,status,coord_mode,scale_ratio,low_coord_key,high_coord_key,low_patch_count,high_patch_count,low_coords_shape,high_coords_shape,low_features_shape,high_features_shape,low_min_x,low_min_y,low_max_x,low_max_y,low_span_x,low_span_y,high_min_x,high_min_y,high_max_x,high_max_y,high_span_x,high_span_y,low_patch_level,high_patch_level,low_patch_size_attr,high_patch_size_attr,low_has_nan_or_inf,high_has_nan_or_inf,low_duplicate_count,high_duplicate_count,low_duplicate_ratio,high_duplicate_ratio,range_iou,span_ratio_x,span_ratio_y,min_delta_x,min_delta_y,same_coord_system_heuristic,empty_match_count,warning_count,warnings,child_count_mean,child_count_std,child_count_min,child_count_max,child_count_median,child_count_p25,child_count_p75,child_count_p90,child_count_p95,child_count_nonzero_mean,empty_match_ratio
2460628-B2,ok,top_left,4.0,coords,coords,190,2668,"[190, 2]","[2668, 2]","[190, 512]","[2668, 512]",8736.0,6832.0,127619.0,65281.0,118883.0,58449.0,8736.0,6832.0,130691.0,69377.0,121955.0,62545.0,,,,,False,False,0,0,0.0,0.0,0.9109711719873609,1.025840532288048,1.0700781878218617,0.0,0.0,True,188,0,,0.010526315789473684,0.10205641805087008,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9894736842105263
2460628-B2,ok,top_left,0.5,coords,coords,190,2668,"[190, 2]","[2668, 2]","[190, 512]","[2668, 512]",8736.0,6832.0,127619.0,65281.0,118883.0,58449.0,8736.0,6832.0,130691.0,69377.0,121955.0,62545.0,,,,,False,False,0,0,0.0,0.0,0.9109711719873609,1.025840532288048,1.0700781878218617,0.0,0.0,True,190,0,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460628-B2,ok,top_left,0.25,coords,coords,190,2668,"[190, 2]","[2668, 2]","[190, 512]","[2668, 512]",8736.0,6832.0,127619.0,65281.0,118883.0,58449.0,8736.0,6832.0,130691.0,69377.0,121955.0,62545.0,,,,,False,False,0,0,0.0,0.0,0.9109711719873609,1.025840532288048,1.0700781878218617,0.0,0.0,True,190,0,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460628-B2,ok,center,1.0,coords,coords,190,2668,"[190, 2]","[2668, 2]","[190, 512]","[2668, 512]",8736.0,6832.0,127619.0,65281.0,118883.0,58449.0,8736.0,6832.0,130691.0,69377.0,121955.0,62545.0,,,,,False,False,0,0,0.0,0.0,0.9109711719873609,1.025840532288048,1.0700781878218617,0.0,0.0,True,44,0,,0.7684210526315789,0.4218413665160816,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.23157894736842105
2460628-B2,ok,center,2.0,coords,coords,190,2668,"[190, 2]","[2668, 2]","[190, 512]","[2668, 512]",8736.0,6832.0,127619.0,65281.0,118883.0,58449.0,8736.0,6832.0,130691.0,69377.0,121955.0,62545.0,,,,,False,False,0,0,0.0,0.0,0.9109711719873609,1.025840532288048,1.0700781878218617,0.0,0.0,True,189,0,,0.005263157894736842,0.07235645834140797,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9947368421052631
2460628-B2,ok,center,4.0,coords,coords,190,2668,"[190, 2]","[2668, 2]","[190, 512]","[2668, 512]",8736.0,6832.0,127619.0,65281.0,118883.0,58449.0,8736.0,6832.0,130691.0,69377.0,121955.0,62545.0,,,,,False,False,0,0,0.0,0.0,0.9109711719873609,1.025840532288048,1.0700781878218617,0.0,0.0,True,187,0,,0.015789473684210527,0.12466020297186325,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.9842105263157894
2460628-B2,ok,center,0.5,coords,coords,190,2668,"[190, 2]","[2668, 2]","[190, 512]","[2668, 512]",8736.0,6832.0,127619.0,65281.0,118883.0,58449.0,8736.0,6832.0,130691.0,69377.0,121955.0,62545.0,,,,,False,False,0,0,0.0,0.0,0.9109711719873609,1.025840532288048,1.0700781878218617,0.0,0.0,True,190,0,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460628-B2,ok,center,0.25,coords,coords,190,2668,"[190, 2]","[2668, 2]","[190, 512]","[2668, 512]",8736.0,6832.0,127619.0,65281.0,118883.0,58449.0,8736.0,6832.0,130691.0,69377.0,121955.0,62545.0,,,,,False,False,0,0,0.0,0.0,0.9109711719873609,1.025840532288048,1.0700781878218617,0.0,0.0,True,190,0,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2460641-B2,ok,top_left,1.0,coords,coords,242,3511,"[242, 2]","[3511, 2]","[242, 512]","[3511, 512]",7760.0,17282.0,124614.0,78930.0,116854.0,61648.0,7760.0,17282.0,127547.0,82818.0,119787.0,65536.0,,,,,False,False,0,0,0.0,0.0,0.917641309254917,1.0250996970578672,1.0630677394238255,0.0,0.0,True,39,0,,0.8388429752066116,0.3676757241825079,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.16115702479338842
2460641-B2,ok,top_left,2.0,coords,coords,242,3511,"[242, 2]","[3511, 2]","[242, 512]","[3511, 512]",7760.0,17282.0,124614.0,78930.0,116854.0,61648.0,7760.0,17282.0,127547.0,82818.0,119787.0,65536.0,,,,,False,False,0,0,0.0,0.0,0.917641309254917,1.0250996970578672,1.0630677394238255,0.0,0.0,True,242,0,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
