fold,branch,available,num_samples,ACC,BACC,F1,AUC,PR_AUC
0,full,True,194,0.9278350515463918,0.912286931818182,0.9183894230769232,0.9683948863636364,0.945292696283196
0,concept_only,True,194,0.9175257731958762,0.8971354166666667,0.9059735853628984,0.9655539772727272,0.9371910412184774
0,full_without_visual,True,194,0.9175257731958762,0.8971354166666667,0.9059735853628984,0.9655539772727272,0.9371910412184774
0,visual_only,True,194,0.922680412371134,0.9047111742424244,0.9122092497058556,0.9667376893939394,0.9465380839238848
0,low_only,True,194,0.7989690721649485,0.7412405303030303,0.7565245374094931,0.8312026515151514,0.7606130795214211
0,high_only,True,194,0.9123711340206184,0.8932291666666667,0.9005038163333032,0.953716856060606,0.9006801405638996
0,csg_only,True,194,0.788659793814433,0.7848011363636364,0.7729698872556016,0.8463541666666666,0.7522248220930452
1,full,True,194,0.9072164948453608,0.8966619318181819,0.8966619318181819,0.945904356060606,0.9102771277013492
1,concept_only,True,194,0.8917525773195877,0.8812736742424243,0.879876160990712,0.938091856060606,0.8972200232184432
1,full_without_visual,True,194,0.8917525773195877,0.8812736742424243,0.879876160990712,0.938091856060606,0.8972200232184432
1,visual_only,True,194,0.8969072164948454,0.8851799242424243,0.8851799242424243,0.9504024621212122,0.9199112401072556
1,low_only,True,194,0.7474226804123711,0.7498816287878788,0.7330600095476116,0.8109611742424243,0.6437306302542934
1,high_only,True,194,0.9020618556701032,0.8854166666666667,0.8896770524677502,0.9463778409090908,0.8991313632149075
1,csg_only,True,194,0.7319587628865979,0.6427556818181819,0.6497222222222222,0.5572916666666667,0.5728210820523298
2,full,True,194,0.9432989690721648,0.9249618051474908,0.9356201164509608,0.9853096721118816,0.9667639410577163
2,concept_only,True,194,0.9329896907216496,0.913562110706311,0.9239146830784084,0.9882477376895052,0.972042456208822
2,full_without_visual,True,194,0.9329896907216496,0.913562110706311,0.9239146830784084,0.9882477376895052,0.972042456208822
2,visual_only,True,194,0.9175257731958762,0.9017510870842638,0.907453786523554,0.975085203901751,0.9495706271470932
2,low_only,True,194,0.711340206185567,0.7231166999647431,0.7010456796917997,0.7784698554471736,0.6456700832179161
2,high_only,True,194,0.9381443298969072,0.9245504759666237,0.9305903398926656,0.979903631449054,0.9635793023137808
2,csg_only,True,194,0.8144329896907216,0.8053825361382065,0.7988479262672812,0.8872958044423551,0.7534275367409904
3,full,True,193,0.932642487046632,0.9269863994273444,0.925436119944129,0.962419470293486,0.9309308429729436
3,concept_only,True,193,0.927461139896373,0.9121331424481032,0.9181807170542636,0.9589596754951084,0.9377400504397054
3,full_without_visual,True,193,0.927461139896373,0.9121331424481032,0.9181807170542636,0.9589596754951084,0.9377400504397054
3,visual_only,True,193,0.9067357512953368,0.9073013600572656,0.898492286115007,0.9576473395371032,0.91446021576443
3,low_only,True,193,0.7202072538860104,0.7510140777857313,0.7146221248630886,0.8291577189214985,0.7312157239265015
3,high_only,True,193,0.911917098445596,0.8894058697208304,0.8994329501915709,0.9398711524695778,0.9290409802748044
3,csg_only,True,193,0.4507772020725388,0.491708422810785,0.450408338706211,0.4457170126461465,0.3173890275059169
4,full,True,193,0.927461139896373,0.937604390360296,0.9220157007619488,0.9621808637556668,0.9044907032405958
4,concept_only,True,193,0.917098445595855,0.9260916249105224,0.9108750865850844,0.9572894297303748,0.8951392738776162
4,full_without_visual,True,193,0.917098445595855,0.9260916249105224,0.9108750865850844,0.9572894297303748,0.8951392738776162
4,visual_only,True,193,0.9067357512953368,0.9145788594607492,0.8997344724082198,0.9626580768313052,0.888039834410701
4,low_only,True,193,0.7823834196891192,0.7291219279408255,0.7411877394636015,0.8324982104509664,0.723344746816822
4,high_only,True,193,0.911917098445596,0.9221546170365068,0.905580016691128,0.9669529945120496,0.9286556767948168
4,csg_only,True,193,0.5595854922279793,0.5925793366738249,0.5565377233530668,0.6657122405153901,0.4724528986500332
