fold,sample_id,slide_id,label,pred_full,pred_concept_only,pred_visual_only,pred_full_without_visual,full_correct,concept_correct,visual_correct,full_without_visual_correct,full_margin,concept_margin,visual_margin,csg_margin,full_top1_margin,concept_top1_margin,visual_top1_margin,csg_top1_margin,visual_contribution_ratio,concept_contribution_ratio,csg_contribution_ratio
0,2460239-B2,2460239-B2,0,0,0,0,0,True,True,True,True,9.363364219665527,4.527032852172852,4.833298683166504,0.00019991211593151093,9.363364219665527,4.527032852172852,4.833298683166504,0.00019991211593151093,0.3413156569004059,0.6586843132972717,0.0002623893669806421
0,2460628-B2,2460628-B2,0,0,0,0,0,True,True,True,True,10.863744735717773,5.186371803283691,5.674340724945068,0.004626811947673559,10.863744735717773,5.186371803283691,5.674340724945068,0.004626811947673559,0.34452304244041443,0.655476987361908,0.0008093421929515898
0,2460641-B2,2460641-B2,0,0,0,0,0,True,True,True,True,11.470536231994629,4.587684631347656,6.879819869995117,0.004511523060500622,11.470536231994629,4.587684631347656,6.879819869995117,0.004511523060500622,0.4296216368675232,0.5703784227371216,0.0006341744447126985
0,2460960-B,2460960-B,0,0,0,0,0,True,True,True,True,10.822078704833984,5.160737037658691,5.658310890197754,0.0039024229627102613,10.822078704833984,5.160737037658691,5.658310890197754,0.0039024229627102613,0.347972571849823,0.6520274877548218,0.0007163964910432696
0,2461671-B2,2461671-B2,0,0,0,0,0,True,True,True,True,11.063438415527344,5.108083724975586,5.952322006225586,0.004081356339156628,11.063438415527344,5.108083724975586,5.952322006225586,0.004081356339156628,0.37423136830329895,0.6257686018943787,0.0008036254439502954
0,2461677-B2,2461677-B2,0,0,0,0,0,True,True,True,True,10.220768928527832,4.816656112670898,5.40108060836792,0.0014529757900163531,10.220768928527832,4.816656112670898,5.40108060836792,0.0014529757900163531,0.3913903832435608,0.6086096167564392,0.0005757489125244319
0,2461700-B2,2461700-B2,0,0,0,0,0,True,True,True,True,8.941923141479492,4.197566032409668,4.741324424743652,-0.0038220544811338186,8.941923141479492,4.197566032409668,4.741324424743652,0.0038220544811338186,0.3953953683376312,0.6046046018600464,0.0004611269396264106
0,2462478-B2,2462478-B2,0,0,0,0,0,True,True,True,True,10.544679641723633,5.483706951141357,5.057940483093262,0.006193477660417557,10.544679641723633,5.483706951141357,5.057940483093262,0.006193477660417557,0.290519118309021,0.7094808220863342,0.0009170901612378657
0,2462598-B,2462598-B,0,0,0,0,0,True,True,True,True,4.30542516708374,1.4311554431915283,2.871237277984619,-0.007233448792248964,4.30542516708374,1.4311554431915283,2.871237277984619,0.007233448792248964,0.28314340114593506,0.7168565988540649,0.001499149831943214
0,2462637-B2,2462637-B2,0,0,0,0,0,True,True,True,True,7.064043045043945,3.4435853958129883,3.6174259185791016,0.0032835444435477257,7.064043045043945,3.4435853958129883,3.6174259185791016,0.0032835444435477257,0.28843897581100464,0.7115610241889954,0.0007258190307766199
0,2463127-B3,2463127-B3,0,0,0,0,0,True,True,True,True,9.469514846801758,4.977083683013916,4.489399433135986,0.000649484689347446,9.469514846801758,4.977083683013916,4.489399433135986,0.000649484689347446,0.330875426530838,0.6691246032714844,0.0003796440432779491
0,2463647-B2,2463647-B2,0,0,0,0,0,True,True,True,True,8.343624114990234,4.640283584594727,3.700308322906494,-0.00010069319978356361,8.343624114990234,4.640283584594727,3.700308322906494,0.00010069319978356361,0.2675502598285675,0.7324497103691101,5.097269604448229e-05
0,2463656-B2,2463656-B2,0,0,0,0,0,True,True,True,True,7.454726696014404,3.679184675216675,3.772509813308716,-0.005292385816574097,7.454726696014404,3.679184675216675,3.772509813308716,0.005292385816574097,0.37144675850868225,0.6285532712936401,0.0006570425466634333
0,2464548-B,2464548-B,0,0,0,0,0,True,True,True,True,8.904781341552734,4.267417907714844,4.634330749511719,-0.00089834607206285,8.904781341552734,4.267417907714844,4.634330749511719,0.00089834607206285,0.3445720374584198,0.6554279923439026,0.00016758913989178836
0,2465243-B2,2465243-B2,0,0,0,0,0,True,True,True,True,11.80496883392334,5.9051513671875,5.896786212921143,0.009335726499557495,11.80496883392334,5.9051513671875,5.896786212921143,0.009335726499557495,0.29869797825813293,0.7013020515441895,0.0011382292723283172
0,2465396-B2,2465396-B2,0,0,0,0,0,True,True,True,True,10.43090534210205,5.202143669128418,5.225729465484619,0.005907516926527023,10.43090534210205,5.202143669128418,5.225729465484619,0.005907516926527023,0.3019293248653412,0.6980706453323364,0.0009579200414009392
