fold,epoch,train_loss,train_acc,train_auc,train_f1,val_loss,val_acc,val_auc,val_f1,duration_seconds
1,1,0.443790815720032,0.8344827586206897,0.8939316002585104,0.8159606536569888,0.4845692383419613,0.7783505154639175,0.9525331439393939,0.6913456913456913,15.96
1,2,0.25340085955331326,0.906896551724138,0.9572534588955275,0.8972157681250739,0.24380423870320778,0.9278350515463918,0.9694602272727273,0.919625946969697,16.95
1,3,0.24779399865688856,0.9137931034482758,0.9610651683614925,0.9034299034299034,0.23298987014948536,0.9226804123711341,0.9692234848484849,0.9153749963649054,15.11
1,4,0.1948864616529019,0.9310344827586207,0.973885173901001,0.923502024558488,0.3041633787457231,0.9123711340206185,0.9552556818181819,0.9020405738557045,16.53
1,5,0.1845481353935689,0.9379310344827586,0.9764966565109009,0.9308160262952114,0.7393765226124317,0.7783505154639175,0.9468513257575758,0.7751906648341282,16.74
1,6,0.1511644380120663,0.9310344827586207,0.9857951173188778,0.922937925170068,0.4241278129460091,0.8814432989690721,0.9541903409090909,0.8733645522917554,15.73
1,7,0.15786520464367423,0.9448275862068966,0.9839881823817249,0.9386535512189962,0.5439086372384455,0.8350515463917526,0.9375,0.7923190151211026,16.46
1,8,0.09170879799347281,0.9637931034482758,0.9939329191891215,0.9596922313229089,0.44584366528606895,0.9123711340206185,0.9463778409090909,0.9005038163333032,16.7
1,9,0.15198497256580848,0.9413793103448276,0.9870217227871643,0.9348193981701836,0.5739714116017963,0.8608247422680413,0.9312263257575757,0.852146667795749,16.19
1,10,0.07208705196312268,0.9706896551724138,0.9965971590234638,0.9674491847440337,0.5404750697621793,0.8865979381443299,0.9464370265151516,0.8754668534080299,14.25
1,11,0.11096658061215413,0.9534482758620689,0.9940516229441169,0.9481757259865972,0.4776445924556123,0.8969072164948454,0.9444839015151515,0.8824669817036229,16.79
1,12,0.09288399808022385,0.9637931034482758,0.9946319524129835,0.9595927426177135,0.5820132133179929,0.9072164948453608,0.9299242424242424,0.8974027500293806,16.35
2,1,0.4830160128449252,0.7896551724137931,0.8723755883441748,0.7631575424080546,0.2541555190016975,0.9381443298969072,0.9609824891291574,0.9294801890221738,15.94
2,2,0.2918814126265024,0.8810344827586207,0.9440610291395631,0.8685105418272501,0.30330149905730974,0.9226804123711341,0.9675637560230343,0.9090937490237732,15.6
2,3,0.2482347612180502,0.9155172413793103,0.9580622983764345,0.9061770619092737,0.2353187557060323,0.9381443298969072,0.9705018216006582,0.9305903398926655,16.5
2,4,0.17367021925778658,0.9344827586206896,0.9794013432756888,0.9275,0.16225001992164415,0.9639175257731959,0.977553178986955,0.9599587203302373,18.67
2,5,0.18264307779503217,0.9327586206896552,0.9795599978846052,0.924770269955667,0.18672228995712506,0.9381443298969072,0.9766129980021154,0.9329493087557603,17.44
2,6,0.141821648772149,0.943103448275862,0.9863424824157808,0.9366592206502855,0.17937543501712458,0.9484536082474226,0.9783758373486896,0.9421586165772213,15.65
2,7,0.19079341296653105,0.9379310344827586,0.976624887619652,0.9308160262952114,0.2696188617439428,0.9226804123711341,0.9787284052180045,0.9099266412851703,14.77
2,8,0.08714165311042124,0.9603448275862069,0.9946321857316622,0.9559606617125163,0.436903078840444,0.9381443298969072,0.9706193442237631,0.9294801890221738,15.22
2,9,0.1601710138264424,0.9517241379310345,0.9887751864191655,0.9463218573166217,0.2679383844455885,0.9175257731958762,0.9688565048771888,0.9111416466277339,16.93
2,10,0.0871043526981857,0.9620689655172414,0.9949362737320853,0.9577209049581847,0.2893312480696785,0.9432989690721649,0.9702667763544481,0.93612881984975,14.77
2,11,0.05302811956271472,0.9827586206896551,0.9980961446930032,0.9808755061396219,0.33470502933512325,0.9278350515463918,0.9723821835703372,0.9170332355816226,16.55
2,12,0.11908491702085243,0.9672413793103448,0.9915384208577926,0.9636196770668612,0.2664802890725329,0.9226804123711341,0.9732048419320719,0.9114828897338403,16.9
2,13,0.055619123944936975,0.9827586206896551,0.9973821989528795,0.9807822295264477,0.44841720095477566,0.9175257731958762,0.968856504877189,0.9043510415382718,16.47
2,14,0.08799389922612978,0.9672413793103448,0.994777619123169,0.9636196770668612,0.29028605137730334,0.9226804123711341,0.9762604301328006,0.9114828897338403,15.8
3,1,0.4646926585437134,0.8123924268502581,0.8792625998892318,0.7877408607808767,0.27551021317995417,0.8808290155440415,0.9528752087807206,0.8689980817470857,18.35
3,2,0.3145307857250088,0.8640275387263339,0.9382862568241158,0.848869791409427,0.22512301062886014,0.917098445595855,0.9656406585540444,0.9078978764018134,17.97
3,3,0.2740540524981364,0.8984509466437177,0.9544531476646358,0.886854917234664,0.3014928294461134,0.8860103626943006,0.9578859460749224,0.8781565656565656,16.39
3,4,0.20350365174950766,0.9259896729776248,0.9722815623598914,0.9181317402944675,0.323559632249489,0.8911917098445596,0.9658792650918636,0.8686181075561608,16.69
3,5,0.1823499751510613,0.9311531841652324,0.9776353614473721,0.9237532808398949,0.4823919753978811,0.766839378238342,0.9722023383440705,0.764793500338524,15.9
3,6,0.18522732939066605,0.9225473321858864,0.9770155866761611,0.9139131723218255,0.31861662569179006,0.9119170984455959,0.9682653304700548,0.8967362225789192,16.43
