branch,available,num_samples,logit_space,acc,balanced_acc,macro_f1,auc,pr_auc
full,True,193,post_calibration,0.9119170984455959,0.896683369124314,0.9010345971706935,0.9612264376043903,0.9239261815342512
concept_only,True,193,post_calibration,0.9067357512953368,0.8854688618468146,0.8939560439560439,0.9572894297303747,0.9236066041206076
full_without_visual,True,193,post_calibration,0.9067357512953368,0.8854688618468146,0.8939560439560439,0.9572894297303747,0.9236066041206076
visual_only,True,193,post_calibration,0.9222797927461139,0.915473633977571,0.9139647537816874,0.9611071343354808,0.917187869796617
low_only,True,193,post_calibration,0.7357512953367875,0.751908852302553,0.726225906044002,0.8316630875685994,0.7254436152515339
high_only,True,193,post_calibration,0.8911917098445595,0.8591028394178,0.8736004989864339,0.9308041040324504,0.9194000523990689
csg_only,True,193,post_calibration,0.6373056994818653,0.6188857074683847,0.6123163452708906,0.711882605583393,0.5034142647286566
