config_id,fold,status,status_reason,exp_code,ccra_alpha_init,learned_alpha_final,ccra_scale,ccra_norm,ccra_dropout,ccra_clip,ccra_detach_prompt,ACC,BACC,F1,AUC,PR_AUC,delta_acc_vs_step58C_fold0,delta_auc_vs_step58C_fold0,delta_f1_vs_step58C_fold0,delta_bacc_vs_step58C_fold0,delta_pr_auc_vs_step58C_fold0
A,0,completed,,rce_v2_rcD_ccra_A_fold0,0.001,7.089816289607143e-09,0.5,layernorm,0.0,5.0,False,0.9175257731958762,0.9081439393939394,0.9081439393939394,0.9599905303030304,0.9340916209519308,-0.010309226804123717,-0.008404469696969619,-0.010245060606060563,-0.004143060606060511,-0.011201379048069282
B,0,completed,,rce_v2_rcD_ccra_B_fold0,0.001,-4.45923291181316e-07,1.0,layernorm,0.0,5.0,False,0.9329896907216496,0.9198626893939394,0.9245158780042502,0.9725378787878788,0.9529111404024796,0.005154690721649646,0.004142878787878779,0.006126878004250158,0.007575689393939489,0.007618140402479545
C,0,completed,,rce_v2_rcD_ccra_C_fold0,0.01,0.04096035659313202,1.0,layernorm,0.0,5.0,False,0.9329896907216496,0.923532196969697,0.9250898505955386,0.9695785984848484,0.9564706988034548,0.005154690721649646,0.0011835984848483916,0.006700850595538599,0.011245196969697058,0.01117769880345476
D,0,completed,,rce_v2_rcD_ccra_D_fold0,0.05,0.07902898639440536,1.0,layernorm,0.0,5.0,False,0.922680412371134,0.9047111742424244,0.9122092497058556,0.9637784090909092,0.9470061847209944,-0.005154587628866003,-0.004616590909090834,-0.006179750294144415,-0.007575825757575538,0.001713184720994354
E,0,completed,,rce_v2_rcD_ccra_E_fold0,0.01,0.034364886581897736,0.5,layernorm,0.1,5.0,False,0.9329896907216496,0.9198626893939394,0.9245158780042502,0.9740767045454546,0.9541278325850682,0.005154690721649646,0.00568170454545458,0.006126878004250158,0.007575689393939489,0.00883483258506812
F,0,completed,,rce_v2_rcD_ccra_F_fold0,0.01,0.03597203642129898,1.0,none,0.0,5.0,False,0.9072164948453608,0.8929924242424243,0.8958855098389982,0.9558475378787878,0.9457900823935969,-0.020618505154639144,-0.01254746212121216,-0.022503490161001838,-0.01929457575757565,0.0004970823935968038
G,0,skipped,optional_not_scheduled_by_default,rce_v2_rcD_ccra_G_fold0,0.01,,1.0,layernorm,0.0,5.0,True,,,,,,,,,,
