config_id,status,ccra_enabled,alpha_init,learned_alpha_final,ccra_scale,ccra_norm,ccra_dropout,ccra_clip,ccra_detach_prompt,low_ccra_delta_abs_mean,high_ccra_delta_abs_mean,low_original_region_norm,high_original_region_norm,low_fused_region_norm,high_fused_region_norm,low_ccra_region_norm,high_ccra_region_norm,anomaly_count
A,completed,1.0,0.001,7.089816289607143e-09,0.5,layernorm,0.0,5.0,False,1.1206281626376856e-16,1.8896010681020918e-16,22.608501296682455,22.65315870894599,22.124118205198307,22.47018678409537,8.533583110251524e-07,1.4815349231867003e-06,0.0
B,completed,1.0,0.001,-4.45923291181316e-07,1.0,layernorm,0.0,5.0,False,1.0144917337467174e-09,1.3859704666873335e-09,22.857891603843452,22.687093862553233,22.021023819127034,22.46765569313285,0.08264510087745706,0.11407110897689751,0.0
C,completed,1.0,0.01,0.04096035659313202,1.0,layernorm,0.0,5.0,False,0.27063357749396993,0.4912639689660564,22.727303229656417,22.58221657743159,22.143429451382037,22.467768266028965,173.0545672288875,325.6878785988719,0.0
D,completed,1.0,0.05,0.07902898639440536,1.0,layernorm,0.0,5.0,False,0.3711886154775767,0.8804680100190885,22.780644328323834,22.55726346281386,22.091532530243864,22.442325218436643,131.0645307560557,300.7551563695534,0.0
E,completed,1.0,0.01,0.034364886581897736,0.5,layernorm,0.1,5.0,False,0.0790940245911095,0.24944734991979353,22.78299973674656,22.550669365322467,22.081399632483414,22.449291425881928,122.99472107346524,406.5294156418633,0.0
F,completed,1.0,0.01,0.03597203642129898,1.0,none,0.0,5.0,False,0.2522057865832731,0.37716666616729855,22.008769625240994,22.35382086960311,22.823629236712897,29.610009321232432,183.0817356601204,287.241187420088,0.0
G,skipped,,0.01,,1.0,layernorm,0.0,5.0,True,,,,,,,,,
