config_id,status,branch,ACC,BACC,F1,AUC,PR_AUC
A,completed,full,0.9175257731958762,0.9081439393939394,0.9081439393939394,0.9599905303030304,0.9340916209519308
A,completed,concept_only,0.922680412371134,0.9120501893939394,0.9135652122256216,0.959161931818182,0.9329103271903098
A,completed,full_without_visual,0.922680412371134,0.9120501893939394,0.9135652122256216,0.959161931818182,0.9329103271903098
A,completed,visual_only,0.9123711340206184,0.9042376893939394,0.9027568922305764,0.9517045454545454,0.9215622526737316
A,completed,low_only,0.7628865979381443,0.7505918560606061,0.7429723502304147,0.8288352272727273,0.8115028675140628
A,completed,high_only,0.9123711340206184,0.9005681818181819,0.9020405738557044,0.9427083333333334,0.8397784617191921
A,completed,csg_only,0.7216494845360825,0.6569602272727273,0.6646177487514406,0.7889441287878789,0.6811454646464421
B,completed,full,0.9329896907216496,0.9198626893939394,0.9245158780042502,0.9725378787878788,0.9529111404024796
B,completed,concept_only,0.9329896907216496,0.9198626893939394,0.9245158780042502,0.9667376893939394,0.9456243621103504
B,completed,full_without_visual,0.9329896907216496,0.9198626893939394,0.9245158780042502,0.9667376893939394,0.9456243621103504
B,completed,visual_only,0.9175257731958762,0.911813446969697,0.9088024444705606,0.9756155303030304,0.9587515084228996
B,completed,low_only,0.7525773195876289,0.7207623106060606,0.7223613595706619,0.8194839015151516,0.7679696460481595
B,completed,high_only,0.9278350515463918,0.9159564393939394,0.9190220632081098,0.9614109848484848,0.9235840665099116
B,completed,csg_only,0.711340206185567,0.7005208333333333,0.6908014571948998,0.7612452651515151,0.6406210227867826
C,completed,full,0.9329896907216496,0.923532196969697,0.9250898505955386,0.9695785984848484,0.9564706988034548
C,completed,concept_only,0.9381443298969072,0.927438446969697,0.9305903398926656,0.9746685606060606,0.9618026392691276
C,completed,full_without_visual,0.9381443298969072,0.927438446969697,0.9305903398926656,0.9746685606060606,0.9618026392691276
C,completed,visual_only,0.922680412371134,0.915719696969697,0.9141972578505086,0.9586884469696968,0.940821000037236
C,completed,low_only,0.8144329896907216,0.7859848484848485,0.7901442307692308,0.8918087121212122,0.858736798796951
C,completed,high_only,0.9072164948453608,0.8819839015151515,0.8933284457478006,0.9517045454545456,0.8672660613950289
C,completed,csg_only,0.7010309278350515,0.6560132575757576,0.6591542469405065,0.7379261363636365,0.6298090349948592
D,completed,full,0.922680412371134,0.9047111742424244,0.9122092497058556,0.9637784090909092,0.9470061847209942
D,completed,concept_only,0.9278350515463918,0.9086174242424244,0.917726887192536,0.969341856060606,0.9532658412523386
D,completed,full_without_visual,0.9278350515463918,0.9086174242424244,0.917726887192536,0.969341856060606,0.9532658412523386
D,completed,visual_only,0.9278350515463918,0.919625946969697,0.919625946969697,0.954900568181818,0.9354481474734672
D,completed,low_only,0.7938144329896907,0.7850378787878788,0.7764976958525346,0.8848248106060607,0.8248104042325267
D,completed,high_only,0.9020618556701032,0.8707386363636364,0.8859070789612158,0.9307528409090908,0.8529371693011971
D,completed,csg_only,0.711340206185567,0.7408854166666667,0.7051991750786932,0.7827888257575758,0.609380456878799
E,completed,full,0.9329896907216496,0.9198626893939394,0.9245158780042502,0.9740767045454546,0.9541278325850682
E,completed,concept_only,0.9329896907216496,0.9198626893939394,0.9245158780042502,0.9715909090909092,0.9508980962350262
E,completed,full_without_visual,0.9329896907216496,0.9198626893939394,0.9245158780042502,0.9715909090909092,0.9508980962350262
E,completed,visual_only,0.9278350515463918,0.912286931818182,0.9183894230769232,0.973248106060606,0.954255868720979
E,completed,low_only,0.845360824742268,0.8057528409090908,0.8190298507462687,0.8861268939393939,0.8584630562185065
E,completed,high_only,0.922680412371134,0.908380681818182,0.9129029361587502,0.9356060606060606,0.8670114203031639
E,completed,csg_only,0.4432989690721649,0.5671164772727273,0.4185814185814185,0.7700047348484848,0.6304954375192499
F,completed,full,0.9072164948453608,0.8929924242424243,0.8958855098389982,0.9558475378787878,0.9457900823935966
F,completed,concept_only,0.922680412371134,0.8973721590909092,0.9107225034514496,0.9596354166666666,0.9436870320871036
F,completed,full_without_visual,0.922680412371134,0.8973721590909092,0.9107225034514496,0.9596354166666666,0.9436870320871036
F,completed,visual_only,0.8865979381443299,0.8810369318181819,0.8754668534080299,0.9467329545454546,0.9338946612668928
F,completed,low_only,0.7783505154639175,0.7292850378787878,0.7394020805348162,0.8197206439393938,0.7820228016987703
F,completed,high_only,0.9020618556701032,0.8670691287878788,0.8848520820967792,0.9415246212121212,0.9042937435532576
F,completed,csg_only,0.8247422680412371,0.7864583333333333,0.7967459632688279,0.8824573863636365,0.7992874861188147
