metric,test_auc,test_f1,test_acc,val_auc,balanced_acc,sensitivity,specificity,pr_auc
mean,0.6666666666666666,0.17391304347826086,0.21052631578947367,0.6857142857142858,0.5,1.0,0.0,0.5588235294117647
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
