metric_name,count,mean,std,median,min,max
full_margin,194,6.395168973613031,3.855690955605224,7.202428102493286,-8.214363098144531,13.448514938354492
concept_margin,194,3.4331713246623266,2.0273859300695256,4.029477834701538,-4.096225738525391,6.663351058959961
visual_margin,194,2.959670071058052,1.953586360139866,3.1994516849517822,-4.249621868133545,7.636201858520508
csg_margin,194,-0.002822579211104162,0.00650711739898418,-0.004609488183632493,-0.020174819976091385,0.022742580622434616
full_top1_margin,194,6.9842586511189175,2.6428526331351194,7.257171392440796,0.1561371088027954,13.448514938354492
concept_top1_margin,194,3.7760838459140245,1.2799022785176597,4.049875974655151,0.018078982830047607,6.663351058959961
visual_top1_margin,194,3.23882155281674,1.4443619854631546,3.2294427156448364,0.24046383798122406,7.636201858520508
csg_top1_margin,194,0.0060226356961101905,0.0037466504399342286,0.005850713001564145,8.126720786094666e-05,0.022742580622434616
visual_contribution_ratio,194,0.45021861079196956,0.257189957608392,0.31775645911693573,0.056168291717767715,0.9905008673667908
concept_contribution_ratio,194,0.5497813904753972,0.2571899552310356,0.6822435259819031,0.009499124251306057,0.9438316822052002
csg_contribution_ratio,194,0.00042667215515705524,0.0007083642574801874,0.00024629301333334297,4.870402108281269e-07,0.006903947331011295
