fold,test_auc,test_acc,test_f1,val_auc,val_acc
1,0.7916666666666666,0.6907216494845361,0.6796917996697853,0.7747987689393939,0.7010309278350515
2,0.8786695075757577,0.8247422680412371,0.8122723132969034,0.9559877776471971,0.8814432989690721
3,0.9740275002938066,0.9432989690721649,0.9383433012626043,0.969339059890241,0.9481865284974094
4,0.9195299451204964,0.8186528497409327,0.8135265700483092,0.883440706275352,0.8082901554404145
5,0.9272846575996182,0.8963730569948186,0.8872136512388966,0.9046519886363638,0.8608247422680413
