metric_name,count,mean,std,median,min,max
full_margin,194,8.431987623578495,5.257075310650095,9.820578575134277,-9.950606346130371,17.178009033203125
concept_margin,194,3.899399315880746,2.375651669883321,4.603144407272339,-4.099052429199219,8.358525276184082
visual_margin,194,4.531655136841474,2.9925355519050787,5.174401044845581,-6.085947036743164,9.804811477661133
csg_margin,194,0.0015766246513746794,0.017936920732898945,0.003645686898380518,-0.05451219528913498,0.06904961913824081
full_top1_margin,194,9.070220096824096,4.057876723262549,9.841170310974121,0.14978575706481934,17.178009033203125
concept_top1_margin,194,4.2479346827747895,1.6745407765084999,4.603144407272339,0.21345961093902588,8.358525276184082
visual_top1_margin,194,4.877459196777074,2.3877937709216637,5.2197043895721436,0.06604045629501343,9.804811477661133
csg_top1_margin,194,0.013546492818913413,0.011862183735583837,0.010964371263980865,0.00016144965775310993,0.06904961913824081
visual_contribution_ratio,194,0.4440716305364253,0.20262025736084716,0.3827715367078781,9.187349496642128e-05,0.9480167627334595
concept_contribution_ratio,194,0.5559283702528661,0.20262025591966715,0.6172284781932831,0.05198320746421814,0.9999080896377563
csg_contribution_ratio,194,0.0012992777192061553,0.0016862865446714218,0.0009147215459961444,1.502778673057037e-06,0.016823088750243187
