metric_name,count,mean,std,median,min,max
full_margin,194,6.917656960253863,4.939450290362686,8.41880750656128,-11.770522117614746,13.276815414428711
concept_margin,194,4.13731633357166,3.1168909819361987,5.171761512756348,-6.844799518585205,8.244436264038086
visual_margin,194,2.78188281164495,1.951602570236579,3.3165018558502197,-4.930549144744873,5.504384994506836
csg_margin,194,0.0015918334109526243,0.004705801284195233,0.0026777652092278004,-0.01654530130326748,0.013554561883211136
full_top1_margin,194,7.74322871111103,3.506359382342113,8.615691661834717,0.03181576728820801,13.276815414428711
concept_top1_margin,194,4.7493861117928295,2.0677832087584593,5.263479232788086,0.09989631175994873,8.244436264038086
visual_top1_margin,194,3.096381875772759,1.4000156603644134,3.3957077264785767,0.06086135655641556,5.504384994506836
csg_top1_margin,194,0.004097424566952185,0.0028088451813325825,0.0036841335240751505,5.8284495025873184e-05,0.01654530130326748
visual_contribution_ratio,194,0.2683872654734026,0.14708315358866814,0.24159342795610428,0.00368479429744184,0.9015466570854187
concept_contribution_ratio,194,0.7316127378762383,0.14708314946873896,0.7584066092967987,0.09845335781574249,0.9963151812553406
csg_contribution_ratio,194,0.0003901801346207458,0.00043052034931550647,0.00024141426547430456,3.0569605513619535e-08,0.0027266661636531353
