variant,paper_label,status,path,test_auc_mean,test_auc_std,test_auc_mean_std,delta_test_auc_vs_full,delta_test_auc_vs_stage23,pvalue_test_auc_vs_full,pvalue_test_auc_note,test_acc_mean,test_acc_std,test_acc_mean_std,delta_test_acc_vs_full,delta_test_acc_vs_stage23,pvalue_test_acc_vs_full,pvalue_test_acc_note,test_f1_mean,test_f1_std,test_f1_mean_std,delta_test_f1_vs_full,delta_test_f1_vs_stage23,pvalue_test_f1_vs_full,pvalue_test_f1_note,balanced_acc_mean,balanced_acc_std,balanced_acc_mean_std,delta_balanced_acc_vs_full,delta_balanced_acc_vs_stage23,pvalue_balanced_acc_vs_full,pvalue_balanced_acc_note,pr_auc_mean,pr_auc_std,pr_auc_mean_std,delta_pr_auc_vs_full,delta_pr_auc_vs_stage23,pvalue_pr_auc_vs_full,pvalue_pr_auc_note
stage23_history,Stage23 reference,ready,results_stage23/rce_v4_csg_a01_rq16_5fold_e20_s1,0.9702127532300916,0.013016161155366,0.9702 ± 0.0130,0.0,0.0,,not compared,0.9225094813311256,0.0187788298214864,0.9225 ± 0.0188,0.0,0.0,,not compared,0.9144563517525356,0.0206810760447193,0.9145 ± 0.0207,0.0,0.0,,not compared,0.9171426221612052,0.0196482869522777,0.9171 ± 0.0196,0.0,0.0,,not compared,0.9443991016694444,0.0251677740914461,0.9444 ± 0.0252,0.0,0.0,,not compared
full,Full RCE-v4-CSG-rq16,ready,results_stage52_rce_core_ablation/full_rce_v4_csg_rq16_5fold_e20_s1,0.9702127532300916,0.013016161155366,0.9702 ± 0.0130,0.0,0.0,1.0,self-reference,0.9225094813311256,0.0187788298214864,0.9225 ± 0.0188,0.0,0.0,1.0,self-reference,0.9144563517525356,0.0206810760447193,0.9145 ± 0.0207,0.0,0.0,1.0,self-reference,0.9171426221612052,0.0196482869522777,0.9171 ± 0.0196,0.0,0.0,1.0,self-reference,0.9443991016694444,0.0251677740914461,0.9444 ± 0.0252,0.0,0.0,1.0,self-reference
wo_csg,w/o CSG,ready,results_stage52_rce_core_ablation/wo_csg_5fold_e20_s1,0.965526151899771,0.0153679754219345,0.9655 ± 0.0154,-0.004686601330320617,-0.004686601330320617,0.22817269778145768,ok,0.9214732119010736,0.0165109591433671,0.9215 ± 0.0165,-0.0010362694300520836,-0.0010362694300520836,0.8655319190155966,ok,0.9127044306286952,0.0190675466019598,0.9127 ± 0.0191,-0.001751921123840372,-0.001751921123840372,0.7937976258159297,ok,0.9134360771527116,0.0216933927408425,0.9134 ± 0.0217,-0.0037065450084936558,-0.0037065450084936558,0.5727762064301971,ok,0.9277598115400644,0.0360591531159917,0.9278 ± 0.0361,-0.016639290129380035,-0.016639290129380035,0.0878404683416681,ok
wo_concept_prior,w/o concept prior,ready,results_stage52_rce_core_ablation/wo_concept_prior_5fold_e20_s1,0.9591807538007884,0.0220627864747618,0.9592 ± 0.0221,-0.011031999429303219,-0.011031999429303219,0.13833164069256793,ok,0.9018642166550932,0.0389814239692736,0.9019 ± 0.0390,-0.02064526467603245,-0.02064526467603245,0.23443263270765102,ok,0.8903255559014646,0.0445188926941225,0.8903 ± 0.0445,-0.02413079585107103,-0.02413079585107103,0.22544196020698185,ok,0.8891071469112918,0.0447154583536761,0.8891 ± 0.0447,-0.028035475249913455,-0.028035475249913455,0.17420694075950482,ok,0.9077836807363866,0.0494666048039147,0.9078 ± 0.0495,-0.03661542093305781,-0.03661542093305781,0.06058611493003537,ok
wo_visual_residual,w/o visual residual,ready,results_stage52_rce_core_ablation/wo_visual_residual_5fold_e20_s1,0.9645064122168328,0.0192421209800769,0.9645 ± 0.0192,-0.005706341013258842,-0.005706341013258842,0.1742522155338217,ok,0.9049249505902462,0.0167190677700411,0.9049 ± 0.0167,-0.0175845307408794,-0.0175845307408794,0.23203052433142726,ok,0.894629777500904,0.0160316515364184,0.8946 ± 0.0160,-0.01982657425163159,-0.01982657425163159,0.22706548084666398,ok,0.8960086212192439,0.0153764930452431,0.8960 ± 0.0154,-0.021134000941961384,-0.021134000941961384,0.2523154534747197,ok,0.923915292255666,0.0467215312751995,0.9239 ± 0.0467,-0.020483809413778364,-0.020483809413778364,0.20079736426223166,ok
wo_logit_calibration,w/o logit calibration,ready,results_stage52_rce_core_ablation/wo_logit_calibration_5fold_e20_s1,0.968550025129364,0.0169431296748004,0.9686 ± 0.0169,-0.0016627281007276506,-0.0016627281007276506,0.7506485896918935,ok,0.9214892366860744,0.027734169262966,0.9215 ± 0.0277,-0.0010202446450512381,-0.0010202446450512381,0.9352661103587994,ok,0.9110998645369368,0.0337779842214687,0.9111 ± 0.0338,-0.00335648721559878,-0.00335648721559878,0.8245717315964314,ok,0.907647002883756,0.0394079106786335,0.9076 ± 0.0394,-0.009495619277449241,-0.009495619277449241,0.5863509023164553,ok,0.9485974218751028,0.0225927858020807,0.9486 ± 0.0226,0.004198320205658357,0.004198320205658357,0.6665409206652887,ok
