variant,paper_label,fold,status,test_auc,delta_test_auc_vs_full,test_acc,delta_test_acc_vs_full,test_f1,delta_test_f1_vs_full,balanced_acc,delta_balanced_acc_vs_full,pr_auc,delta_pr_auc_vs_full
stage23_history,Stage23 reference,1,ready,0.9757339015151516,0.0,0.9072164948453608,0.0,0.8987826086956522,0.0,0.9076704545454546,0.0,0.9547979037555256,0.0
stage23_history,Stage23 reference,2,ready,0.9545454545454546,0.0,0.9123711340206184,0.0,0.9020405738557044,0.0,0.9005681818181819,0.0,0.9209130872748004,0.0
stage23_history,Stage23 reference,3,ready,0.9920084616288636,0.0,0.9587628865979382,0.0,0.9544012222352802,0.0,0.9544012222352802,0.0,0.986152388544612,0.0
stage23_history,Stage23 reference,4,ready,0.9681460272011454,0.0,0.911917098445596,0.0,0.9024933876192458,0.0,0.9039608685277976,0.0,0.9433541685814426,0.0
stage23_history,Stage23 reference,5,ready,0.9606299212598424,0.0,0.922279792746114,0.0,0.914563966356795,0.0,0.9191123836793128,0.0,0.9167779601908418,0.0
full,Full RCE-v4-CSG-rq16,1,ready,0.9757339015151516,0.0,0.9072164948453608,0.0,0.8987826086956522,0.0,0.9076704545454546,0.0,0.9547979037555256,0.0
full,Full RCE-v4-CSG-rq16,2,ready,0.9545454545454546,0.0,0.9123711340206184,0.0,0.9020405738557044,0.0,0.9005681818181819,0.0,0.9209130872748004,0.0
full,Full RCE-v4-CSG-rq16,3,ready,0.9920084616288636,0.0,0.9587628865979382,0.0,0.9544012222352802,0.0,0.9544012222352802,0.0,0.986152388544612,0.0
full,Full RCE-v4-CSG-rq16,4,ready,0.9681460272011454,0.0,0.911917098445596,0.0,0.9024933876192458,0.0,0.9039608685277976,0.0,0.9433541685814426,0.0
full,Full RCE-v4-CSG-rq16,5,ready,0.9606299212598424,0.0,0.922279792746114,0.0,0.914563966356795,0.0,0.9191123836793128,0.0,0.9167779601908418,0.0
wo_csg,w/o CSG,1,ready,0.9718276515151516,-0.00390625,0.9278350515463918,0.020618556701030966,0.9202021389117404,0.021419530216088223,0.9232954545454546,0.015625,0.9503591691789146,-0.004438734576611036
wo_csg,w/o CSG,2,ready,0.9500473484848484,-0.0044981060606061884,0.9020618556701032,-0.010309278350515205,0.8887983829607506,-0.01324219089495371,0.8817471590909092,-0.018821022727272707,0.908740847429537,-0.012172239845263388
wo_csg,w/o CSG,3,ready,0.9917734163826536,-0.00023504524620998613,0.9484536082474226,-0.010309278350515538,0.9430015277941004,-0.01139969444117983,0.9430015277941004,-0.01139969444117983,0.9869578429855754,0.0008054544409634712
wo_csg,w/o CSG,4,ready,0.9512049630159868,-0.016941064185158616,0.9067357512953368,-0.005181347150259197,0.8963851109520401,-0.006108276667205703,0.8963851109520401,-0.007575757575757458,0.9051423835798336,-0.038211785001609044
wo_csg,w/o CSG,5,ready,0.9627773801002146,0.0021474588403722628,0.922279792746114,0.0,0.915134992524844,0.0005710261680489381,0.9227511333810546,0.003638749701741828,0.8875988145264623,-0.029179145664379513
wo_concept_prior,w/o concept prior,1,ready,0.9643702651515152,-0.011363636363636354,0.9123711340206184,0.005154639175257603,0.9005038163333032,0.0017212076376510455,0.8932291666666667,-0.014441287878787845,0.9391073288557537,-0.015690574899771992
wo_concept_prior,w/o concept prior,2,ready,0.9281486742424244,-0.026396780303030165,0.8350515463917526,-0.07731958762886582,0.8119471707257967,-0.09009340312990766,0.8052793560606061,-0.0952888257575758,0.8766499873290334,-0.04426309994576694
wo_concept_prior,w/o concept prior,3,ready,0.9947114819602774,0.0027030203314137857,0.9536082474226804,-0.005154639175257825,0.9473255498235136,-0.007075672411766654,0.9363614995886708,-0.01803972264660947,0.9905220439754252,0.004369655430813246
wo_concept_prior,w/o concept prior,4,ready,0.94613457408733,-0.02201145311381536,0.8911917098445595,-0.020725388601036454,0.8826747720364742,-0.019818615582771648,0.8954903364352182,-0.008470532092579308,0.866489001662261,-0.07686516691918166
wo_concept_prior,w/o concept prior,5,ready,0.9625387735623956,0.0019088523025532211,0.917098445595855,-0.005181347150259086,0.9091764705882353,-0.005387495768559791,0.9151753758052972,-0.00393700787401563,0.8661500418594605,-0.05062791833138125
wo_visual_residual,w/o visual residual,1,ready,0.9784564393939394,0.002722537878787845,0.9329896907216496,0.02577319587628879,0.9245158780042502,0.025733269308597984,0.9198626893939394,0.012192234848484862,0.9644555879688312,0.009657684213305595
wo_visual_residual,w/o visual residual,2,ready,0.9378551136363636,-0.01669034090909094,0.9020618556701032,-0.010309278350515205,0.8905159354857872,-0.011524638369917128,0.8890861742424243,-0.011482007575757569,0.8575287703018745,-0.0633843169729259
wo_visual_residual,w/o visual residual,3,ready,0.9925960747443884,0.0005876131155247988,0.9123711340206184,-0.046391752577319756,0.8959851136972907,-0.05841610853798951,0.8731343283582089,-0.08126689387707131,0.9881333482050704,0.0019809596604584145
wo_visual_residual,w/o visual residual,4,ready,0.9612264376043904,-0.0069195895967549825,0.8911917098445595,-0.020725388601036454,0.8826747720364742,-0.019818615582771648,0.8954903364352182,-0.008470532092579308,0.906082925025962,-0.037271243555480615
wo_visual_residual,w/o visual residual,5,ready,0.9523979957050824,-0.008231925554759933,0.8860103626943006,-0.03626943005181349,0.8794571882807176,-0.03510677807607743,0.902469577666428,-0.016642806012884814,0.9033758297765924,-0.013402130414249425
wo_logit_calibration,w/o logit calibration,1,ready,0.9807054924242424,0.004971590909090828,0.9381443298969072,0.030927835051546393,0.9316018333529203,0.032819224657268165,0.9347774621212122,0.02710700757575757,0.9692472408269012,0.014449337071375523
