topic,comparison,source_stage,preferred_variant,reference_variant,delta_test_auc,delta_test_acc,delta_test_f1,delta_balanced_acc,delta_sensitivity,delta_specificity,delta_pr_auc,paper_ready_conclusion,stage37_test_auc_delta,stage37_balanced_acc_delta,stage38_fixed_cases,stage38_regressed_cases
CSG strength,csg_a01 - csg_a005,stage24,RCE-v4-CSG-a01-rq16,RCE-v4-CSG-a005-rq16,0.0082850305336239,0.0247903423962396,0.0293591256144528,0.0339397739959828,0.0630936227951153,0.0047859251968503,0.0230678935801611,CSG a01 > CSG a005,,,,
Region query count,rq16 - rq8,stage24,RCE-v4-CSG-a01-rq16,RCE-v4-CSG-a01-rq8,0.0062150687373795,0.0123871588056193,0.0165561422083725,0.0259464549790415,0.0691542288557215,-0.0172613188976377,0.0087949059468064,rq16 > rq8,,,,
Region query count,rq16 - rq32,stage24,RCE-v4-CSG-a01-rq16,RCE-v4-CSG-a01-rq32,0.0124866952371286,0.0155066502857753,0.0188103404338744,0.0254325772933825,0.0570782451379465,-0.0062130905511811,0.0225768383794476,rq16 > rq32,,,,
Spatial Region Graph,rg_k8 - skeleton,stage28,DEG skeleton,rg_k8,-0.0047564388152293,-0.0051866887452594,-0.0070291216951469,-0.0119257945909321,-0.033288104929896,0.0094365157480315,-0.0101909069933815,Spatial Region Graph did not outperform skeleton,,,,
Concept Prompt Graph,cg_k8_a005 - skeleton,stage31,DEG skeleton,cg_k8_a005,-0.0056500670413144,-0.0124138667806207,-0.0163644193212528,-0.0240613492576485,-0.0606965174129354,0.0125738188976377,-0.0042570881096622,Concept Prompt Graph did not outperform skeleton,,,,
Scalar Visual Gate,gate1 - skeleton,stage35,DEG skeleton,gate1,-0.00466642438754683,-0.01241386678062073,-0.013610535279793057,-0.014522446375851539,-0.021121664405246654,-0.007923228346456868,-0.020869147678342137,Scalar Visual Gate did not outperform skeleton,,,,
Low-High Consistency,lh_l001_m0 - skeleton,stage37+stage38,RCE-v4-CSG-a01-rq16 / DEG skeleton,"RCE-v4-CSG-a01-rq16 + Low-High Consistency, lambda=0.01, margin=0",-0.00390625,0.0206185567010309,0.0208433382740448,0.0119554924242424,-0.0151515151515151,0.0390625,-0.0033756863861579,Low-High Consistency is a trade-off variant,-0.0021357844813157,0.002508281672347,6.0,2.0
