config_id,status,branch,ACC,BACC,F1,AUC,PR_AUC
A,completed,full,0.9432989690721648,0.9386837121212122,0.937077989090373,0.9792850378787878,0.957569257864516
A,completed,concept_only,0.9278350515463918,0.9159564393939394,0.9190220632081098,0.9777462121212122,0.9567137906950652
A,completed,full_without_visual,0.9278350515463918,0.9159564393939394,0.9190220632081098,0.9777462121212122,0.9567137906950652
A,completed,visual_only,0.9432989690721648,0.9460227272727272,0.9379416640009306,0.98046875,0.9601065189727188
A,completed,low_only,0.8144329896907216,0.8116714015151515,0.8000687049124012,0.8740530303030304,0.827785690512295
A,completed,high_only,0.9175257731958762,0.9008049242424244,0.9067307692307692,0.9653172348484848,0.9301369762810684
A,completed,csg_only,0.8144329896907216,0.7969933712121212,0.7948055000587613,0.8555871212121211,0.7392901566669962
B,completed,full,0.9278350515463918,0.919625946969697,0.919625946969697,0.9741950757575758,0.9524494491812944
B,completed,concept_only,0.9175257731958762,0.9081439393939394,0.9081439393939394,0.9766808712121212,0.9536752552065354
B,completed,full_without_visual,0.9175257731958762,0.9081439393939394,0.9081439393939394,0.9766808712121212,0.9536752552065354
B,completed,visual_only,0.9329896907216496,0.9272017045454546,0.9256376234704408,0.9702888257575758,0.9512795911089696
B,completed,low_only,0.8195876288659794,0.7752130681818181,0.7878854143888039,0.8648200757575757,0.8269327554994607
B,completed,high_only,0.8969072164948454,0.8888494318181819,0.8860030555882008,0.9610558712121212,0.8959259789115193
B,completed,csg_only,0.5463917525773195,0.5828598484848485,0.544017094017094,0.6278409090909092,0.4933440043153428
C,completed,full,0.922680412371134,0.9193892045454546,0.9148001756697408,0.9723011363636364,0.9447091648091264
C,completed,concept_only,0.9123711340206184,0.9042376893939394,0.9027568922305764,0.970525568181818,0.9409243960635402
C,completed,full_without_visual,0.9123711340206184,0.9042376893939394,0.9027568922305764,0.970525568181818,0.9409243960635402
C,completed,visual_only,0.9175257731958762,0.9191524621212122,0.9100289855072464,0.9740767045454546,0.9481820385084798
C,completed,low_only,0.7525773195876289,0.7501183712121212,0.7364428846371561,0.8436316287878788,0.7622077999843153
C,completed,high_only,0.9020618556701032,0.8890861742424243,0.8905159354857872,0.9524147727272728,0.8974603640761998
C,completed,csg_only,0.2474226804123711,0.3489583333333333,0.214008214008214,0.3491950757575757,0.3503316887399887
D,completed,full,0.922680412371134,0.9010416666666669,0.9114828897338404,0.9719460227272728,0.953204220999718
D,completed,concept_only,0.922680412371134,0.9047111742424244,0.9122092497058556,0.9695785984848484,0.9517162872545208
D,completed,full_without_visual,0.922680412371134,0.9047111742424244,0.9122092497058556,0.9695785984848484,0.9517162872545208
D,completed,visual_only,0.922680412371134,0.8973721590909092,0.9107225034514496,0.9706439393939392,0.9529664583975704
D,completed,low_only,0.8402061855670103,0.7945075757575757,0.810325795565648,0.8606770833333333,0.8053352393852267
D,completed,high_only,0.9020618556701032,0.8707386363636364,0.8859070789612158,0.9557291666666666,0.8906268032231331
D,completed,csg_only,0.6752577319587629,0.7062026515151515,0.669773851017265,0.7611268939393939,0.6127430547991461
E,completed,full,0.9278350515463918,0.919625946969697,0.919625946969697,0.9741950757575758,0.9524494491812944
E,completed,concept_only,0.9175257731958762,0.9081439393939394,0.9081439393939394,0.9766808712121212,0.9536752552065354
E,completed,full_without_visual,0.9175257731958762,0.9081439393939394,0.9081439393939394,0.9766808712121212,0.9536752552065354
E,completed,visual_only,0.9329896907216496,0.9272017045454546,0.9256376234704408,0.9702888257575758,0.9512795911089696
E,completed,low_only,0.8195876288659794,0.7752130681818181,0.7878854143888039,0.8648200757575757,0.8269327554994607
E,completed,high_only,0.8969072164948454,0.8888494318181819,0.8860030555882008,0.9610558712121212,0.8959259789115193
E,completed,csg_only,0.5463917525773195,0.5828598484848485,0.544017094017094,0.6278409090909092,0.4933440043153428
