config_id,status,dynamic_csg_enabled,alpha_init,learned_alpha_final,dynamic_csg_scale,dynamic_csg_norm,dynamic_csg_clip,dynamic_delta_mean,dynamic_delta_std,dynamic_adj_mean,dynamic_adj_std,static_csg_logits_mean,dynamic_csg_logits_mean,csg_logits_delta_mean,csg_logits_delta_abs_mean,csg_logits_delta_abs_mean_vs_static,anomaly_count
A,completed,1.0,0.0,0.04186118021607399,1.0,softmax,5.0,0.006944444421774794,0.0001581504169285067,0.014504514058533403,0.022267842358074236,0.00583349148152977,0.0058832573191354,4.9765817638939385e-05,0.00011726535263058151,0.00011726535263058151,0.0
B,completed,1.0,0.01,0.028973523527383804,1.0,softmax,5.0,0.006944444388170371,0.00010098090688094915,0.00900252991039114,0.010038364981061098,0.0005443008592863538,0.0005428083244736364,-1.4925309356446643e-06,5.382096658875e-05,5.382096658875e-05,0.0
C,completed,1.0,0.05,0.07216639071702957,1.0,softmax,5.0,0.006944444414573847,5.357336868121248e-05,0.010391522962215943,0.010089739667462934,0.0009747009849588815,0.001007643673581453,3.294268195138111e-05,5.4426744578243595e-05,5.4426744578243595e-05,0.0
D,completed,1.0,0.01,0.03444577008485794,2.0,softmax,5.0,0.006944444414573847,0.00015544594933408475,0.010890040604263237,0.008320975717464365,0.00055846697485078,0.0005628965668948536,4.429596176648665e-06,3.952962900669816e-05,3.952962900669816e-05,0.0
E,completed,1.0,0.01,0.028973523527383804,1.0,softmax,1.0,0.006944444388170371,0.00010098090688094915,0.00900252991039114,0.010038364981061098,0.0005443008592863538,0.0005428083244736364,-1.4925309356446643e-06,5.382096658875e-05,5.382096658875e-05,0.0
F,skipped,,0.01,,1.0,l1,5.0,,,,,,,,,,
G,skipped,,0.01,,0.5,none,2.0,,,,,,,,,,
