fold,test_auc,test_acc,test_f1,val_auc,val_acc,balanced_acc,sensitivity,specificity,pr_auc
1,0.9480350378787878,0.8608247422680413,0.8466403162055336,0.9235321969696969,0.845360824742268,0.8504971590909092,0.8181818181818182,0.8828125,0.8934273519342257
2,0.8983191287878788,0.8350515463917526,0.8261064425770308,0.973204841932072,0.9329896907216495,0.849313446969697,0.8939393939393939,0.8046875,0.8254627167731057
3,0.9470560582912211,0.8762886597938144,0.8565265623074079,0.917919350990217,0.9067357512953368,0.8420495945469503,0.7313432835820896,0.952755905511811,0.8679686575171146
4,0.914936769267478,0.8549222797927462,0.8420991117344554,0.9330708661417323,0.8911917098445595,0.8497375328083989,0.8333333333333334,0.8661417322834646,0.8805913878852574
5,0.9507277499403484,0.8911917098445595,0.8747101919688398,0.9593986742424243,0.9226804123711341,0.8627415891195418,0.7727272727272727,0.952755905511811,0.9146909834806832
