metric,test_auc,test_f1,test_acc,val_auc
mean,0.9658688956123107,0.9150394433221531,0.9256129480262807,0.9739999614935346
std,0.008470350005276744,0.014669177230980098,0.012069905696724491,0.011818382730069401
