group_family,group_value,n_slides,error_rate,visual_source_ratio_mean,visual_source_ratio_std,visual_source_ratio_median,visual_effective_margin_mean,visual_effective_margin_std,visual_effective_margin_median,visual_supports_wrong_ratio,visual_concept_conflict_mean,dominant_visual_ratio,dominant_high_ratio,dominant_low_ratio,dominant_csg_ratio,low_margin_abs_mean,high_margin_abs_mean,concept_margin_abs_mean,prediction_confidence_margin_mean
correctness,correct,176,0.0,0.8490665534816131,0.08616842763576976,0.8742988148186335,0.8550092311169689,0.3128625514883558,0.9157617929413744,0.005681818181818182,0.028409090909090908,0.9886363636363636,0.011363636363636364,0.0,0.0,0.04809273463714896,0.0852824357743057,0.05831307762905036,9.564518390054053
correctness,error,18,1.0,0.6286197268637571,0.2967714186797239,0.7613230777690495,-0.31229975099112467,0.27047213619481325,-0.2640123772167636,1.0,0.2222222222222222,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.0,0.03200596675095659,0.05736833792697222,0.027982967533817904,3.5241993500126734
failure_type,concept_wrong_class_drift,1,1.0,0.1380751339141623,0.0,0.1380751339141623,-0.0119910021741835,0.0,-0.0119910021741835,1.0,0.0,0.0,1.0,0.0,0.0,0.0085504092276096,0.0662837699055672,0.0374170895665884,0.8567970991134644
failure_type,correct_prediction,176,0.0,0.8490665534816131,0.08616842763576976,0.8742988148186335,0.8550092311169689,0.3128625514883558,0.9157617929413744,0.005681818181818182,0.028409090909090908,0.9886363636363636,0.011363636363636364,0.0,0.0,0.04809273463714896,0.0852824357743057,0.05831307762905036,9.564518390054053
failure_type,low_high_conflict,4,1.0,0.20308741613333722,0.14381964270299324,0.20551760287021165,-0.0352875829192531,0.032523830715228186,-0.028351926267474903,1.0,0.5,0.25,0.5,0.25,0.0,0.0561020595487206,0.05044709111098195,0.010072305158246298,0.40268321335315704
failure_type,visual_residual_override,13,1.0,0.7972869450077014,0.1136138557153185,0.7988088510868069,-0.4206349372299268,0.24224256832625599,-0.4280435504688923,1.0,0.15384615384615385,1.0,0.0,0.0,0.0,0.026396058007286668,0.058812149872000376,0.03276823887762682,4.689850642130925
overall,all,194,0.09278350515463918,0.8286127242077914,0.1378348663140809,0.8729099462277973,0.746702212158486,0.4585695038878455,0.85162200024763,0.0979381443298969,0.04639175257731959,0.9690721649484536,0.02577319587628866,0.005154639175257732,0.0,0.04660014792605894,0.08269246793280054,0.05549894370268859,9.004076417266708
override,non_visual_override,181,0.027624309392265192,0.8308626420508918,0.13914142338638066,0.873673365751107,0.8305441068659412,0.3409889898886036,0.9097270920511986,0.03314917127071823,0.03867403314917127,0.9668508287292817,0.027624309392265192,0.0055248618784530384,0.0,0.04805127040641276,0.08440762889849338,0.057131535761947155,9.313937937027841
override,visual_override,13,1.0,0.7972869450077014,0.1136138557153185,0.7988088510868069,-0.4206349372299268,0.24224256832625599,-0.4280435504688923,1.0,0.15384615384615385,1.0,0.0,0.0,0.0,0.026396058007286668,0.058812149872000376,0.03276823887762682,4.689850642130925
