fold,learned_alpha_final,ccra_enabled,ccra_scale,ccra_norm,ccra_dropout,ccra_clip,ccra_query_source,detach_prompt,low_ccra_delta_abs_mean,high_ccra_delta_abs_mean,low_original_region_norm,high_original_region_norm,low_fused_region_norm,high_fused_region_norm,low_ccra_region_norm,high_ccra_region_norm,low_ccra_delta_vs_original_ratio,high_ccra_delta_vs_original_ratio,status,anomaly_count
1,0.04096035659313202,1.0,1.0,layernorm,0.0,5.0,prompt_mean,False,0.27063357749396993,0.4912639689660564,22.727303229656417,22.58221657743159,22.143429451382037,22.467768266028965,173.0545672288875,325.6878785988719,0.011907861428135717,0.021754461847515005,completed,0
2,0.03836953639984131,1.0,1.0,layernorm,0.0,5.0,prompt_mean,False,0.2931351859756198,0.504131176614577,22.85760779233323,22.636349687871245,22.02856005835779,22.474080036595925,198.64182070604303,355.2760855881209,0.012824403526336714,0.022270868915083727,completed,0
3,0.03824685141444206,1.0,1.0,layernorm,0.0,5.0,prompt_mean,False,0.31501451706917016,0.653904540973149,22.801888387227795,22.616471300420073,22.123460563187745,22.453592605197553,225.2212598741669,461.44518007691374,0.01381528195031521,0.02891275709137718,completed,0
4,0.04068881273269653,1.0,1.0,layernorm,0.0,5.0,prompt_mean,False,0.36438506077299465,0.5978842623956463,22.750537091586256,22.60975813000931,22.04858261068868,22.452289541768288,239.505945353928,393.2827202297863,0.016016547622858264,0.026443638138795078,completed,0
5,0.04481886327266693,1.0,1.0,layernorm,0.0,5.0,prompt_mean,False,0.4659194864448488,0.6223130253158085,22.775494728681338,22.553880138100737,22.090527252829755,22.45423407875812,271.2882106563588,376.9669819569958,0.020457052283396206,0.027592282192921747,completed,0
