fold,test_auc,test_acc,test_f1,val_auc,val_acc,balanced_acc,sensitivity,specificity,pr_auc
1,0.9724195075757576,0.9072164948453608,0.8958855098389982,0.9405776515151515,0.9072164948453608,0.8929924242424243,0.8484848484848485,0.9375,0.9481553652709878
2,0.9461410984848484,0.8917525773195877,0.8770929495881981,0.9813139029263133,0.9639175257731959,0.8702651515151515,0.803030303030303,0.9375,0.9147414469251337
3,0.9947114819602774,0.9587628865979382,0.953726893261777,0.968503937007874,0.9430051813471503,0.9473498648489834,0.9104477611940298,0.984251968503937,0.9902798516617777
4,0.9488188976377953,0.8652849740932642,0.8575403134226665,0.9673109043187784,0.8601036269430051,0.8794440467668814,0.9242424242424242,0.8346456692913385,0.8863602562163394
5,0.9656406585540444,0.927461139896373,0.919983416252073,0.9740767045454546,0.8969072164948454,0.9230493915533285,0.9090909090909091,0.937007874015748,0.8781128498812739
