fold,branch,available,num_samples,ACC,BACC,F1,AUC,PR_AUC
1,full,True,194,0.922680412371134,0.9047111742424244,0.9122092497058556,0.9637784090909092,0.9470061847209942
1,concept_only,True,194,0.9278350515463918,0.9086174242424244,0.917726887192536,0.969341856060606,0.9532658412523386
1,full_without_visual,True,194,0.9278350515463918,0.9086174242424244,0.917726887192536,0.969341856060606,0.9532658412523386
1,visual_only,True,194,0.9278350515463918,0.919625946969697,0.919625946969697,0.954900568181818,0.9354481474734672
1,low_only,True,194,0.7938144329896907,0.7850378787878788,0.7764976958525346,0.8848248106060607,0.8248104042325267
1,high_only,True,194,0.9020618556701032,0.8707386363636364,0.8859070789612158,0.9307528409090908,0.8529371693011971
1,csg_only,True,194,0.711340206185567,0.7408854166666667,0.7051991750786932,0.7827888257575758,0.609380456878799
2,full,True,194,0.9123711340206184,0.907907196969697,0.903440199092373,0.9544270833333334,0.923499660353637
2,concept_only,True,194,0.9123711340206184,0.907907196969697,0.903440199092373,0.9517045454545454,0.9245980588528692
2,full_without_visual,True,194,0.9123711340206184,0.907907196969697,0.903440199092373,0.9517045454545454,0.9245980588528692
2,visual_only,True,194,0.8814432989690721,0.8697916666666667,0.8684357953707799,0.9506392045454544,0.9127424724268932
2,low_only,True,194,0.7577319587628866,0.7026515151515151,0.7124294319866276,0.8347537878787878,0.700373544698806
2,high_only,True,194,0.922680412371134,0.915719696969697,0.9141972578505086,0.9447206439393938,0.8995443604619064
2,csg_only,True,194,0.7680412371134021,0.703125,0.7160698604741926,0.8665956439393939,0.7665350553912127
3,full,True,194,0.9432989690721648,0.9284874838406394,0.93612881984975,0.9936537783523328,0.9883219533003764
3,concept_only,True,194,0.9587628865979382,0.943824186155835,0.9533653846153848,0.9941238688447526,0.9896844896571728
3,full_without_visual,True,194,0.9587628865979382,0.943824186155835,0.9533653846153848,0.9941238688447526,0.9896844896571728
3,visual_only,True,194,0.9381443298969072,0.9210247972734752,0.930048076923077,0.9891879186743447,0.97927027806808
3,low_only,True,194,0.8556701030927835,0.840404277823481,0.840404277823481,0.923610294981784,0.8764677891087628
3,high_only,True,194,0.9123711340206184,0.8872370431308026,0.8996806083650191,0.9648607356916208,0.9480754852505342
3,csg_only,True,194,0.7268041237113402,0.6185803267128922,0.6136184284694299,0.7586085321424375,0.6681409912749825
4,full,True,193,0.917098445595855,0.9188141255070388,0.9097709209911172,0.9500119303268908,0.9305670091306786
4,concept_only,True,193,0.911917098445596,0.9075996182295396,0.9031724952043676,0.9507277499403484,0.9389804754084572
4,full_without_visual,True,193,0.911917098445596,0.9075996182295396,0.9031724952043676,0.9507277499403484,0.9389804754084572
4,visual_only,True,193,0.9015544041450776,0.9070031018849916,0.8938486032710957,0.9433309472679552,0.9127836553583776
4,low_only,True,193,0.8186528497409327,0.8112622285850632,0.8032505169953106,0.8583870198043426,0.7621861604541915
4,high_only,True,193,0.922279792746114,0.915473633977571,0.9139647537816874,0.9533524218563588,0.9404474527839118
4,csg_only,True,193,0.7253886010362695,0.6239560963970413,0.6246100774340343,0.8608923884514436,0.7371694771775412
5,full,True,193,0.8860103626943006,0.858804581245526,0.8693055897562176,0.9292531615366262,0.9012663026030416
5,concept_only,True,193,0.8704663212435233,0.8360773085182533,0.8495244035552784,0.9303268909568122,0.8934281117395362
5,full_without_visual,True,193,0.8704663212435233,0.8360773085182533,0.8495244035552784,0.9303268909568122,0.8934281117395362
5,visual_only,True,193,0.8911917098445595,0.8700190885230255,0.8767822941051288,0.9256740634693392,0.8908453824279345
5,low_only,True,193,0.7357512953367875,0.6645788594607492,0.6739972841387076,0.7518492006680983,0.6196656977097715
5,high_only,True,193,0.9067357512953368,0.8854688618468146,0.8939560439560439,0.9392746361250296,0.918248743356565
5,csg_only,True,193,0.7979274611398963,0.737294201861131,0.7534152334152334,0.8866618945359103,0.8274772762797031
