fold,branch,available,num_samples,ACC,BACC,F1,AUC,PR_AUC
1,full,True,194,0.9175257731958762,0.8934659090909092,0.9051808406647116,0.9699337121212122,0.950649359607235
1,concept_only,True,194,0.9175257731958762,0.8934659090909092,0.9051808406647116,0.9702888257575758,0.9493148872583308
1,full_without_visual,True,194,0.9175257731958762,0.8934659090909092,0.9051808406647116,0.9702888257575758,0.9493148872583308
1,visual_only,True,194,0.9123711340206184,0.8822206439393939,0.897916860123193,0.9674479166666666,0.9494088090641633
1,low_only,True,194,0.8144329896907216,0.8006628787878788,0.796218487394958,0.8626893939393939,0.7966401892354993
1,high_only,True,194,0.8917525773195877,0.8555871212121212,0.8727312486332823,0.9433001893939394,0.917478064987936
1,csg_only,True,194,0.7680412371134021,0.728811553030303,0.7344486692015209,0.7878787878787878,0.6553164013884003
2,full,True,194,0.922680412371134,0.9120501893939394,0.9135652122256216,0.952533143939394,0.92057504250239
2,concept_only,True,194,0.9175257731958762,0.904474431818182,0.907453786523554,0.9460227272727272,0.9106808990891796
2,full_without_visual,True,194,0.9175257731958762,0.904474431818182,0.907453786523554,0.9460227272727272,0.9106808990891796
2,visual_only,True,194,0.9278350515463918,0.9306344696969696,0.9212753623188406,0.9528882575757576,0.9216033045680326
2,low_only,True,194,0.7319587628865979,0.7528409090909092,0.7234649122807018,0.8218513257575757,0.7016038563431438
2,high_only,True,194,0.8917525773195877,0.8592566287878788,0.8738972977992385,0.9485085227272728,0.9153629202406032
2,csg_only,True,194,0.6958762886597938,0.6117424242424243,0.6148073363621067,0.7352035984848484,0.600894136889115
3,full,True,194,0.9329896907216496,0.9029850746268656,0.9219364224471476,0.988717828181925,0.9812596822670012
3,concept_only,True,194,0.9329896907216496,0.9029850746268656,0.9219364224471476,0.9876601245739804,0.9809503123997524
3,full_without_visual,True,194,0.9329896907216496,0.9029850746268656,0.9219364224471476,0.9876601245739804,0.9809503123997524
3,visual_only,True,194,0.8969072164948454,0.86484898342931,0.88043880192284,0.9817839934187332,0.9653995532480046
3,low_only,True,194,0.8041237113402062,0.7728287695381362,0.778485576923077,0.835938418145493,0.7442412216522628
3,high_only,True,194,0.9278350515463918,0.8955223880597014,0.915547263681592,0.9793160183335292,0.9768239547652056
3,csg_only,True,194,0.5773195876288659,0.4550475966623575,0.4068605518269947,0.6272182395111059,0.3955134412986802
4,full,True,193,0.911917098445596,0.896683369124314,0.9010345971706936,0.9612264376043904,0.9239261815342512
4,concept_only,True,193,0.9067357512953368,0.8854688618468146,0.8939560439560439,0.9572894297303748,0.9236066041206076
4,full_without_visual,True,193,0.9067357512953368,0.8854688618468146,0.8939560439560439,0.9572894297303748,0.9236066041206076
4,visual_only,True,193,0.922279792746114,0.915473633977571,0.9139647537816874,0.9611071343354808,0.917187869796617
4,low_only,True,193,0.7357512953367875,0.751908852302553,0.726225906044002,0.8316630875685994,0.7254436152515339
4,high_only,True,193,0.8911917098445595,0.8591028394178,0.8736004989864339,0.9308041040324504,0.9194000523990687
4,csg_only,True,193,0.6373056994818653,0.6188857074683847,0.6123163452708906,0.711882605583393,0.5034142647286566
5,full,True,193,0.922279792746114,0.9191123836793128,0.914563966356795,0.9671916010498688,0.9149993126277812
5,concept_only,True,193,0.922279792746114,0.9191123836793128,0.914563966356795,0.967430207587688,0.9268376193747252
5,full_without_visual,True,193,0.922279792746114,0.9191123836793128,0.914563966356795,0.967430207587688,0.9268376193747252
5,visual_only,True,193,0.911917098445596,0.9075996182295396,0.9031724952043676,0.96408971605822,0.8918175715203223
5,low_only,True,193,0.7875647668393783,0.7585301837270342,0.7613187343528489,0.8334526366022429,0.7072222486545892
5,high_only,True,193,0.917098445595855,0.9115366261035552,0.9085524757166548,0.9770937723693628,0.9531503888209166
5,csg_only,True,193,0.7616580310880829,0.749761393462181,0.742218350754936,0.8446671438797423,0.7218292019696804
