fold,class,support,acc,correct_est
0,0,127,0.889763779527559,113
0,1,66,0.8484848484848485,56
1,0,127,0.9606299212598425,122
1,1,66,0.9090909090909091,60
2,0,127,0.8661417322834646,110
2,1,66,0.8787878787878788,58
3,0,127,0.8976377952755905,114
3,1,66,0.8484848484848485,56
4,0,127,0.9133858267716536,116
4,1,66,0.8636363636363636,57
5,0,127,0.9212598425196851,117
5,1,66,0.7575757575757576,50
6,0,127,0.905511811023622,115
6,1,66,0.9242424242424242,61
7,0,127,0.937007874015748,119
7,1,66,0.9090909090909091,60
8,0,127,0.9291338582677166,118
8,1,66,0.7878787878787878,52
9,0,127,0.9448818897637795,120
9,1,66,0.7424242424242424,49
