metric,test_auc,test_f1,test_acc,val_auc,balanced_acc,sensitivity,specificity,pr_auc
mean,0.9679909913790032,0.928743826898643,0.9359542759467976,0.9710338952606332,0.9281210631034164,0.9033016734509272,0.9529404527559056,0.9428298438113712
std,0.0074186713146275505,0.006726581705895208,0.0061536704528453836,0.008742204701213858,0.005781919410869047,0.012268157536483878,0.010935970648948249,0.02022874574506658
