comparison,current_status,reference_status,test_auc_delta,test_acc_delta,test_f1_delta,val_auc_delta,val_acc_delta,balanced_acc_delta,sensitivity_delta,specificity_delta,pr_auc_delta
rg_k2 - skeleton,ok,ok,-0.012533058802266517,-0.012429891565621576,-0.014194688713482395,-0.015127192642727771,-0.016516211740825848,-0.016676930420374658,-0.030167345092718234,-0.0031865157480315265,-0.02200168241287037
rg_k4 - skeleton,ok,ok,-0.007521038886633469,-0.005181347150259086,-0.006410202028498957,-0.004289033202812043,-0.0030821003151541015,-0.011148656769837118,-0.030122116689280998,0.007824803149606319,-0.004363251524879708
rg_k8 - skeleton,ok,ok,-0.004756438815229358,-0.005186688745259405,-0.0070291216951469115,-0.00831839399325851,-0.018604775385930306,-0.011925794590932126,-0.03328810492989609,0.009436515748031504,-0.010190906993381543
