slide_id,anchor_rank,bbox_expand,raw_child_count,used_child_count,empty_child_flag,mean_child_distance,min_child_distance,max_child_distance,used_mean_child_distance,anchor_bbox_expand_x0,anchor_bbox_expand_y0,anchor_bbox_expand_x1,anchor_bbox_expand_y1
2460239-B2,16,3.0,0,0,True,,,,,126020.0,22945.0,126788.0,23713.0
2460628-B2,1,1.0,0,0,True,,,,,84066.0,6832.0,84322.0,7088.0
2460628-B2,1,1.5,0,0,True,,,,,84002.0,6768.0,84386.0,7152.0
2460628-B2,1,2.0,0,0,True,,,,,83938.0,6704.0,84450.0,7216.0
2460628-B2,1,3.0,0,0,True,,,,,83810.0,6576.0,84578.0,7344.0
2460628-B2,2,1.0,1,1,False,0.0,0.0,0.0,0.0,41504.0,40705.0,41760.0,40961.0
2460628-B2,2,1.5,1,1,False,0.0,0.0,0.0,0.0,41440.0,40641.0,41824.0,41025.0
2460628-B2,2,2.0,1,1,False,0.0,0.0,0.0,0.0,41376.0,40577.0,41888.0,41089.0
2460628-B2,2,3.0,1,1,False,0.0,0.0,0.0,0.0,41248.0,40449.0,42016.0,41217.0
2460628-B2,3,1.0,1,1,False,0.0,0.0,0.0,0.0,12832.0,32513.0,13088.0,32769.0
2460628-B2,3,1.5,1,1,False,0.0,0.0,0.0,0.0,12768.0,32449.0,13152.0,32833.0
2460628-B2,3,2.0,1,1,False,0.0,0.0,0.0,0.0,12704.0,32385.0,13216.0,32897.0
2460628-B2,3,3.0,1,1,False,0.0,0.0,0.0,0.0,12576.0,32257.0,13344.0,33025.0
2460628-B2,4,1.0,1,1,False,0.0,0.0,0.0,0.0,12832.0,16129.0,13088.0,16385.0
2460628-B2,4,1.5,1,1,False,0.0,0.0,0.0,0.0,12768.0,16065.0,13152.0,16449.0
2460628-B2,4,2.0,1,1,False,0.0,0.0,0.0,0.0,12704.0,16001.0,13216.0,16513.0
2460628-B2,4,3.0,1,1,False,0.0,0.0,0.0,0.0,12576.0,15873.0,13344.0,16641.0
2460628-B2,5,1.0,1,1,False,0.0,0.0,0.0,0.0,16928.0,48897.0,17184.0,49153.0
2460628-B2,5,1.5,1,1,False,0.0,0.0,0.0,0.0,16864.0,48833.0,17248.0,49217.0
2460628-B2,5,2.0,1,1,False,0.0,0.0,0.0,0.0,16800.0,48769.0,17312.0,49281.0
2460628-B2,5,3.0,1,1,False,0.0,0.0,0.0,0.0,16672.0,48641.0,17440.0,49409.0
2460628-B2,6,1.0,1,1,False,0.0,0.0,0.0,0.0,21024.0,48897.0,21280.0,49153.0
2460628-B2,6,1.5,1,1,False,0.0,0.0,0.0,0.0,20960.0,48833.0,21344.0,49217.0
2460628-B2,6,2.0,1,1,False,0.0,0.0,0.0,0.0,20896.0,48769.0,21408.0,49281.0
2460628-B2,6,3.0,1,1,False,0.0,0.0,0.0,0.0,20768.0,48641.0,21536.0,49409.0
2460628-B2,7,1.0,1,1,False,0.0,0.0,0.0,0.0,88162.0,10928.0,88418.0,11184.0
2460628-B2,7,1.5,1,1,False,0.0,0.0,0.0,0.0,88098.0,10864.0,88482.0,11248.0
2460628-B2,7,2.0,1,1,False,0.0,0.0,0.0,0.0,88034.0,10800.0,88546.0,11312.0
2460628-B2,7,3.0,1,1,False,0.0,0.0,0.0,0.0,87906.0,10672.0,88674.0,11440.0
2460628-B2,8,1.0,1,1,False,0.0,0.0,0.0,0.0,16928.0,20225.0,17184.0,20481.0
2460628-B2,8,1.5,1,1,False,0.0,0.0,0.0,0.0,16864.0,20161.0,17248.0,20545.0
2460628-B2,8,2.0,1,1,False,0.0,0.0,0.0,0.0,16800.0,20097.0,17312.0,20609.0
2460628-B2,8,3.0,1,1,False,0.0,0.0,0.0,0.0,16672.0,19969.0,17440.0,20737.0
2460628-B2,9,1.0,1,1,False,0.0,0.0,0.0,0.0,16928.0,16129.0,17184.0,16385.0
2460628-B2,9,1.5,1,1,False,0.0,0.0,0.0,0.0,16864.0,16065.0,17248.0,16449.0
2460628-B2,9,2.0,1,1,False,0.0,0.0,0.0,0.0,16800.0,16001.0,17312.0,16513.0
2460628-B2,9,3.0,1,1,False,0.0,0.0,0.0,0.0,16672.0,15873.0,17440.0,16641.0
2460628-B2,10,1.0,1,1,False,0.0,0.0,0.0,0.0,12832.0,20225.0,13088.0,20481.0
2460628-B2,10,1.5,1,1,False,0.0,0.0,0.0,0.0,12768.0,20161.0,13152.0,20545.0
2460628-B2,10,2.0,1,1,False,0.0,0.0,0.0,0.0,12704.0,20097.0,13216.0,20609.0
2460628-B2,10,3.0,1,1,False,0.0,0.0,0.0,0.0,12576.0,19969.0,13344.0,20737.0
2460628-B2,11,1.0,1,1,False,0.0,0.0,0.0,0.0,16928.0,28417.0,17184.0,28673.0
2460628-B2,11,1.5,1,1,False,0.0,0.0,0.0,0.0,16864.0,28353.0,17248.0,28737.0
2460628-B2,11,2.0,1,1,False,0.0,0.0,0.0,0.0,16800.0,28289.0,17312.0,28801.0
2460628-B2,11,3.0,1,1,False,0.0,0.0,0.0,0.0,16672.0,28161.0,17440.0,28929.0
2460628-B2,12,1.0,1,1,False,0.0,0.0,0.0,0.0,12832.0,48897.0,13088.0,49153.0
2460628-B2,12,1.5,1,1,False,0.0,0.0,0.0,0.0,12768.0,48833.0,13152.0,49217.0
2460628-B2,12,2.0,1,1,False,0.0,0.0,0.0,0.0,12704.0,48769.0,13216.0,49281.0
2460628-B2,12,3.0,1,1,False,0.0,0.0,0.0,0.0,12576.0,48641.0,13344.0,49409.0
2460628-B2,13,1.0,1,1,False,0.0,0.0,0.0,0.0,92258.0,15024.0,92514.0,15280.0
2460628-B2,13,1.5,1,1,False,0.0,0.0,0.0,0.0,92194.0,14960.0,92578.0,15344.0
2460628-B2,13,2.0,1,1,False,0.0,0.0,0.0,0.0,92130.0,14896.0,92642.0,15408.0
2460628-B2,13,3.0,1,1,False,0.0,0.0,0.0,0.0,92002.0,14768.0,92770.0,15536.0
2460628-B2,14,1.0,1,1,False,0.0,0.0,0.0,0.0,8736.0,28417.0,8992.0,28673.0
2460628-B2,14,1.5,1,1,False,0.0,0.0,0.0,0.0,8672.0,28353.0,9056.0,28737.0
2460628-B2,14,2.0,1,1,False,0.0,0.0,0.0,0.0,8608.0,28289.0,9120.0,28801.0
2460628-B2,14,3.0,1,1,False,0.0,0.0,0.0,0.0,8480.0,28161.0,9248.0,28929.0
2460628-B2,15,1.0,1,1,False,0.0,0.0,0.0,0.0,92258.0,10928.0,92514.0,11184.0
2460628-B2,15,1.5,1,1,False,0.0,0.0,0.0,0.0,92194.0,10864.0,92578.0,11248.0
2460628-B2,15,2.0,1,1,False,0.0,0.0,0.0,0.0,92130.0,10800.0,92642.0,11312.0
2460628-B2,15,3.0,1,1,False,0.0,0.0,0.0,0.0,92002.0,10672.0,92770.0,11440.0
2460628-B2,16,1.0,1,1,False,0.0,0.0,0.0,0.0,12832.0,40705.0,13088.0,40961.0
2460628-B2,16,1.5,1,1,False,0.0,0.0,0.0,0.0,12768.0,40641.0,13152.0,41025.0
2460628-B2,16,2.0,1,1,False,0.0,0.0,0.0,0.0,12704.0,40577.0,13216.0,41089.0
2460628-B2,16,3.0,1,1,False,0.0,0.0,0.0,0.0,12576.0,40449.0,13344.0,41217.0
2460641-B2,1,1.0,0,0,True,,,,,44624.0,62546.0,44880.0,62802.0
2460641-B2,1,1.5,0,0,True,,,,,44560.0,62482.0,44944.0,62866.0
2460641-B2,1,2.0,0,0,True,,,,,44496.0,62418.0,45008.0,62930.0
2460641-B2,1,3.0,0,0,True,,,,,44368.0,62290.0,45136.0,63058.0
2460641-B2,2,1.0,1,1,False,0.0,0.0,0.0,0.0,36432.0,74834.0,36688.0,75090.0
2460641-B2,2,1.5,1,1,False,0.0,0.0,0.0,0.0,36368.0,74770.0,36752.0,75154.0
2460641-B2,2,2.0,1,1,False,0.0,0.0,0.0,0.0,36304.0,74706.0,36816.0,75218.0
2460641-B2,2,3.0,1,1,False,0.0,0.0,0.0,0.0,36176.0,74578.0,36944.0,75346.0
2460641-B2,3,1.0,1,1,False,0.0,0.0,0.0,0.0,40528.0,66642.0,40784.0,66898.0
2460641-B2,3,1.5,1,1,False,0.0,0.0,0.0,0.0,40464.0,66578.0,40848.0,66962.0
2460641-B2,3,2.0,1,1,False,0.0,0.0,0.0,0.0,40400.0,66514.0,40912.0,67026.0
2460641-B2,3,3.0,1,1,False,0.0,0.0,0.0,0.0,40272.0,66386.0,41040.0,67154.0
2460641-B2,4,1.0,1,1,False,0.0,0.0,0.0,0.0,32336.0,58450.0,32592.0,58706.0
2460641-B2,4,1.5,1,1,False,0.0,0.0,0.0,0.0,32272.0,58386.0,32656.0,58770.0
2460641-B2,4,2.0,1,1,False,0.0,0.0,0.0,0.0,32208.0,58322.0,32720.0,58834.0
2460641-B2,4,3.0,1,1,False,0.0,0.0,0.0,0.0,32080.0,58194.0,32848.0,58962.0
2460641-B2,5,1.0,0,0,True,,,,,104134.0,62338.0,104390.0,62594.0
2460641-B2,5,1.5,0,0,True,,,,,104070.0,62274.0,104454.0,62658.0
2460641-B2,5,2.0,0,0,True,,,,,104006.0,62210.0,104518.0,62722.0
2460641-B2,5,3.0,0,0,True,,,,,103878.0,62082.0,104646.0,62850.0
2460641-B2,6,1.0,1,1,False,0.0,0.0,0.0,0.0,7760.0,29778.0,8016.0,30034.0
2460641-B2,6,1.5,1,1,False,0.0,0.0,0.0,0.0,7696.0,29714.0,8080.0,30098.0
2460641-B2,6,2.0,1,1,False,0.0,0.0,0.0,0.0,7632.0,29650.0,8144.0,30162.0
2460641-B2,6,3.0,1,1,False,0.0,0.0,0.0,0.0,7504.0,29522.0,8272.0,30290.0
2460641-B2,7,1.0,0,0,True,,,,,100038.0,62338.0,100294.0,62594.0
2460641-B2,7,1.5,0,0,True,,,,,99974.0,62274.0,100358.0,62658.0
2460641-B2,7,2.0,0,0,True,,,,,99910.0,62210.0,100422.0,62722.0
2460641-B2,7,3.0,0,0,True,,,,,99782.0,62082.0,100550.0,62850.0
