metric,test_auc,test_f1,test_acc,val_auc,balanced_acc,sensitivity,specificity,pr_auc
mean,0.9731297348484849,0.8702341137123746,0.8917525773195877,0.9596354166666669,0.8482481060606061,0.7121212121212122,0.984375,0.9395759890765487
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
