slide_id,fold,label,pred,correct,n_low,n_high,low_avg_attention_entropy,proto_attention_entropy_mean,proto_attention_entropy_std,proto_top1_pairwise_dist_mean,proto_top1_pairwise_dist_median,proto_top1_unique_ratio,low_top3_score_sum,low_top5_score_sum,low_top10_score_sum
2460239-B2,0,0,0,1,187,2592,3.6379118534439794,3.598762656594536,0.3805680589652908,0.0,0.0,0.0625,0.3185042440891266,0.43032515048980713,0.5873203277587891
2460628-B2,0,0,0,1,190,2668,4.268878986343559,4.24134018432596,0.2665738676327567,0.0,0.0,0.0625,0.17465999722480774,0.25365328788757324,0.400268018245697
2460641-B2,0,0,0,1,242,3511,5.055370226889548,5.0444131311582865,0.10476303625501543,0.0,0.0,0.0625,0.0593489333987236,0.0931006520986557,0.16543586552143097
2460960-B,0,0,0,1,343,4901,4.589090004120244,4.557081796043559,0.3121562136144377,0.0,0.0,0.0625,0.17080190777778625,0.23728764057159424,0.3388816714286804
2461671-B2,0,0,0,1,328,4887,4.903903919682911,4.878340673872456,0.24977734455796455,0.0,0.0,0.0625,0.132154643535614,0.18534056842327118,0.2763179838657379
2461677-B2,0,0,0,1,60,812,3.1904840923827904,3.1611356396877173,0.2839855013543844,0.0,0.0,0.0625,0.38263458013534546,0.4945833683013916,0.6801886558532715
2461700-B2,0,0,0,1,74,996,3.2317627183541395,3.2035080123773625,0.27121379589797034,0.0,0.0,0.0625,0.36352574825286865,0.4690884053707123,0.6705829501152039
2462478-B2,0,0,0,1,152,2029,3.973719290597142,3.9510891268476955,0.21482603794517113,0.0,0.0,0.0625,0.15685470402240753,0.24911268055438995,0.42669153213500977
2462598-B,0,0,1,0,195,2744,3.8817803449016814,3.854155206456374,0.2629816037271814,0.0,0.0,0.0625,0.1893264502286911,0.2756021320819855,0.4602300822734833
2462637-B2,0,0,0,1,277,3864,4.271802588156719,4.231894456368144,0.3958470259695552,0.0,0.0,0.0625,0.23765219748020172,0.2990432679653168,0.4303146004676819
2463127-B3,0,0,0,1,261,3791,4.634147506479405,4.601701295518408,0.3200323480610613,0.0,0.0,0.0625,0.1913040429353714,0.25245600938796997,0.35633549094200134
2463647-B2,0,0,0,1,204,2934,3.909984646651676,3.865096218370835,0.4443715711744526,0.0,0.0,0.0625,0.328715443611145,0.40062761306762695,0.536718487739563
2463656-B2,0,0,0,1,157,2076,3.751606859603652,3.71390796903303,0.3667942114567215,23694.105775487707,23694.105775487707,0.125,0.3061630129814148,0.4055573046207428,0.5455764532089233
2464548-B,0,0,0,1,337,4999,4.710089841567301,4.675678165725994,0.3397418365145423,0.0,0.0,0.0625,0.1866304874420166,0.24321798980236053,0.33868375420570374
2465243-B2,0,0,0,1,348,5204,4.866647939298671,4.837090827941493,0.28518669904916616,0.0,0.0,0.0625,0.1268010437488556,0.17928671836853027,0.27438080310821533
2465396-B2,0,0,0,1,165,2463,4.20968194423672,4.182098140183411,0.2650027822584445,0.0,0.0,0.0625,0.17935138940811157,0.26680073142051697,0.4104454815387726
2465397-B,0,0,0,1,157,2289,3.9984928598473815,3.9619412256849276,0.3602344048034897,0.0,0.0,0.0625,0.2861570715904236,0.3648498058319092,0.48657524585723877
2465568-B2,0,0,0,1,188,2648,4.217289237081825,4.185841093460869,0.30667210125674144,0.0,0.0,0.0625,0.21475912630558014,0.28677627444267273,0.4106382429599762
2465608-B2,0,0,0,1,259,3741,3.7283445934062436,3.6652915907339345,0.6108329122285506,0.0,0.0,0.0625,0.4202720522880554,0.4976823329925537,0.586664617061615
2466264-B2,0,0,0,1,188,2653,4.077575501541247,4.038893820116883,0.3701735544937296,0.0,0.0,0.0625,0.23675259947776794,0.32957249879837036,0.4847389757633209
2466923-B2,0,0,0,1,115,1560,3.7818843473798855,3.754881370876123,0.2610153525829152,0.0,0.0,0.0625,0.2626953721046448,0.3650810420513153,0.511102557182312
2468673-B2,0,0,0,1,158,2236,3.7689028428456592,3.725992835774946,0.4204133793042355,0.0,0.0,0.0625,0.32356736063957214,0.42680731415748596,0.5509693622589111
2468796-B3,0,0,0,1,295,4342,4.1203762127445795,4.069822806749405,0.4999130249938315,0.0,0.0,0.0625,0.3001643419265747,0.38882458209991455,0.5184052586555481
2469004-B2,0,0,0,1,173,2188,4.027350199945006,3.989279476328752,0.36985496386396705,0.0,0.0,0.0625,0.2600661516189575,0.3614264130592346,0.506794273853302
2469029-B2,0,0,0,1,162,2168,4.313163517826541,4.287049898171801,0.2553816054582938,0.0,0.0,0.0625,0.17795684933662415,0.2560366988182068,0.40733787417411804
2469033-B2,0,0,0,1,79,1058,3.457187429293165,3.4313426310516,0.24805825567536072,0.0,0.0,0.0625,0.29948222637176514,0.43818825483322144,0.6121101379394531
2469496-B,0,0,0,1,264,3630,4.1289973536056195,4.0907157810677806,0.37076425958943254,0.0,0.0,0.0625,0.23653334379196167,0.32900145649909973,0.4721672534942627
2469569-B2,0,0,0,1,67,877,3.664778761771431,3.6465826615999424,0.17555123921614166,0.0,0.0,0.0625,0.24477189779281616,0.33161261677742004,0.5025011301040649
2469849-B2,0,0,0,1,178,2512,3.7343883466779064,3.695325900398722,0.3792519560406886,0.0,0.0,0.0625,0.2909047603607178,0.3867316246032715,0.5638131499290466
2469927-B2,0,0,0,1,196,2593,3.936368946728984,3.8872001866163806,0.4882092909110286,0.0,0.0,0.0625,0.3225979804992676,0.40544605255126953,0.531061053276062
2471237-B2,0,0,0,1,463,6815,4.932264293089487,4.901907600532754,0.29269117447184356,0.0,0.0,0.0625,0.10427649319171906,0.15511250495910645,0.27007266879081726
2471452-B2,0,0,0,1,132,1772,3.2821825893404126,3.2460810217620533,0.34603401605119327,0.0,0.0,0.0625,0.35525742173194885,0.5073457956314087,0.6701852679252625
2471884-B2,0,0,1,0,140,1810,3.8407196920385633,3.8045152612535595,0.35544371378069944,0.0,0.0,0.0625,0.2670202851295471,0.3839401304721832,0.5515334010124207
2471957-B,0,0,1,0,85,1104,3.925673913690969,3.9098359326212164,0.15170738173258946,11626.212823376512,0.0,0.125,0.1655835062265396,0.2564924657344818,0.4276682734489441
2471959-B2,0,0,0,1,167,2280,3.667618072590582,3.6365931851167685,0.3021750261309933,0.0,0.0,0.0625,0.31340348720550537,0.3812905251979828,0.5244563817977905
2471963-B,0,0,0,1,280,3985,3.2928843752110097,3.215563628065161,0.7719896486008739,0.0,0.0,0.0625,0.5288304686546326,0.594912052154541,0.6859290599822998
2473212-B4,0,0,0,1,187,2489,4.038593665936008,4.000092146499296,0.37435472225081284,0.0,0.0,0.0625,0.2594265043735504,0.3458554148674011,0.4933956265449524
2473218-B3,0,0,0,1,255,3592,4.555659409674574,4.524379849912794,0.3030356834453821,0.0,0.0,0.0625,0.16044193506240845,0.22719034552574158,0.36499127745628357
2473534-B2,0,0,0,1,228,3213,4.492311872099139,4.4686094649295764,0.2260080350321714,0.0,0.0,0.0625,0.13210618495941162,0.19110198318958282,0.3166809380054474
2473549-B,0,0,0,1,234,3285,4.230973156909588,4.190219096929712,0.4021935507304539,0.0,0.0,0.0625,0.25946447253227234,0.3376694321632385,0.46626055240631104
2473621-B3,0,0,0,1,158,2107,3.508579211772413,3.4747673573728433,0.32762428425112633,0.0,0.0,0.0625,0.30128341913223267,0.41471269726753235,0.5917553305625916
2474150-B3,0,0,0,1,220,3180,4.627075302042229,4.600816223490039,0.2559894332954056,0.0,0.0,0.0625,0.1458675116300583,0.21430984139442444,0.3239164352416992
2474291-B2,0,0,0,1,316,4662,4.5800516053096345,4.5398874676476595,0.387372387705524,0.0,0.0,0.0625,0.1855345517396927,0.2603226900100708,0.3872693181037903
2474337-B3,0,0,0,1,301,4367,4.794077929879736,4.76410568117772,0.2952065178272719,0.0,0.0,0.0625,0.16655245423316956,0.21577969193458557,0.3031294643878937
2474638-B3,0,0,0,1,155,2249,3.2800190405198775,3.21914693303793,0.5985229798513302,0.0,0.0,0.0625,0.4869847297668457,0.5654102563858032,0.6711557507514954
2474739-B2,0,0,0,1,315,4727,4.821688448202685,4.790974378756634,0.305271432026813,0.0,0.0,0.0625,0.1728801280260086,0.21839530766010284,0.29962489008903503
2475011-B2,0,0,0,1,183,2646,4.2013131577567755,4.166956688169145,0.3362553040767574,14541.009001250375,0.0,0.125,0.2496054470539093,0.313712477684021,0.4407173991203308
2475022-B,0,0,0,1,224,3274,4.32120376868025,4.284473860847585,0.3599934104458417,0.0,0.0,0.0625,0.23021206259727478,0.32385939359664917,0.4282819330692291
2475126-B2,0,0,0,1,231,3334,4.304859044283752,4.2680026848777946,0.36479284252076566,0.0,0.0,0.0625,0.21592335402965546,0.2852346897125244,0.4231779873371124
2475349-B2,0,0,0,1,132,1861,3.686552670201485,3.6491138512973667,0.36803539657038076,0.0,0.0,0.0625,0.324966162443161,0.43907350301742554,0.5638394951820374
2476252-B2,0,0,0,1,120,1594,3.8689638071428076,3.843404222432409,0.2459920133253063,0.0,0.0,0.0625,0.22333723306655884,0.31354212760925293,0.48433178663253784
2477189-B3,0,0,0,1,129,1775,3.731138552191533,3.7052120480471977,0.24891426177622364,0.0,0.0,0.0625,0.2534666061401367,0.3424701988697052,0.5108879208564758
2477541-B2,0,0,0,1,141,1847,3.723391610686016,3.677648445471812,0.43352125005522474,0.0,0.0,0.0625,0.3523830771446228,0.4519345462322235,0.5922061800956726
2477809-B3,0,0,0,1,202,3004,4.5849245013424635,4.558911010977152,0.2520020543393344,0.0,0.0,0.0625,0.15136244893074036,0.2172316014766693,0.3374249339103699
2477949-B2,0,0,0,1,188,2718,3.9457306628092743,3.90892207269522,0.35565854398853586,0.0,0.0,0.0625,0.2526317834854126,0.33944737911224365,0.48798081278800964
2477977-B3,0,0,0,1,192,2568,4.170400765460176,4.137687534545657,0.31709409042331527,0.0,0.0,0.0625,0.20708836615085602,0.2937624156475067,0.4418647587299347
2482056-B4,0,0,0,1,223,3063,3.9516432362590286,3.914453966537257,0.3546156939601798,7464.515956919853,0.0,0.125,0.23941953480243683,0.33733150362968445,0.5072835087776184
2482896-B2,0,0,0,1,143,1878,3.6895461544635957,3.6494221428069578,0.3944350826968227,0.0,0.0,0.0625,0.35698777437210083,0.4387083649635315,0.5583786964416504
2482969-B,0,0,0,1,300,4318,4.771661030150566,4.748262196739194,0.22591938578857032,0.0,0.0,0.0625,0.10792439430952072,0.16166628897190094,0.26994118094444275
2483211-B2,0,0,0,1,288,4031,4.177507440433744,4.129409606971198,0.47845380075242183,0.0,0.0,0.0625,0.2938670516014099,0.36305439472198486,0.494894415140152
2483846-B,0,0,0,1,194,2766,4.13113005341828,4.093689601462605,0.36048553908329367,0.0,0.0,0.0625,0.25313255190849304,0.3434147238731384,0.4626878499984741
2483961-B3,0,0,0,1,190,2652,3.94705779232481,3.912457761825761,0.32788547773867416,0.0,0.0,0.0625,0.2010231465101242,0.28032904863357544,0.4677341878414154
2483993-B2,0,0,0,1,228,3420,4.257999437065232,4.228282746263038,0.29011963953652775,0.0,0.0,0.0625,0.20747745037078857,0.2841704785823822,0.41128942370414734
2484727-B2,0,0,0,1,145,2090,4.116145656992499,4.092587129712214,0.2252752396053493,0.0,0.0,0.0625,0.1715199202299118,0.2661026120185852,0.4170495867729187
2484771-B3,0,0,0,1,95,1210,3.3878764389977802,3.354607839278617,0.32393192475764626,0.0,0.0,0.0625,0.33501818776130676,0.45660024881362915,0.6390439867973328
2484791-B3,0,0,0,1,79,1067,3.6578010605011335,3.634677333123195,0.2242440471155765,9505.373049199303,0.0,0.125,0.28716379404067993,0.3823920786380768,0.5291775465011597
2485275-B2,0,0,1,0,320,4591,4.801315385733462,4.778429124703084,0.21823087488883589,0.0,0.0,0.0625,0.09293828904628754,0.14507149159908295,0.2499891221523285
2485969-B2,0,0,0,1,403,5798,4.95826848111236,4.932671450478619,0.24921872815545193,512.0,0.0,0.125,0.10429169237613678,0.15552601218223572,0.2617347240447998
2486687-B3,0,0,0,1,211,3060,4.641744880056335,4.6184467997785905,0.226025452093678,0.0,0.0,0.0625,0.14409932494163513,0.20544134080410004,0.30376118421554565
2486833-B2,0,0,0,1,154,2205,3.975326159458281,3.937893935032025,0.36953727166262385,0.0,0.0,0.0625,0.2768281102180481,0.3831392526626587,0.5108864307403564
2487140-B2,0,0,0,1,140,1907,3.518001821664557,3.4703414465332596,0.4705379353671972,0.0,0.0,0.0625,0.38105157017707825,0.48458409309387207,0.625420093536377
2487146-B2,0,0,0,1,156,2196,4.045838653753596,4.014908586280222,0.29490710237287154,0.0,0.0,0.0625,0.22225934267044067,0.31340837478637695,0.4700354039669037
2487237-B2,0,0,0,1,191,2685,4.031612126338144,4.003168990308602,0.2725077270171653,0.0,0.0,0.0625,0.19698937237262726,0.27488675713539124,0.4324871897697449
2487274-B2,0,0,0,1,197,2764,4.580301950852804,4.555919670870047,0.23838910836235847,0.0,0.0,0.0625,0.15096421539783478,0.207998588681221,0.32729336619377136
2487376-B2,0,0,0,1,344,5115,4.852598438973226,4.821293746338979,0.30704649071789736,0.0,0.0,0.0625,0.13117434084415436,0.19295278191566467,0.30714476108551025
2487558-B2,0,0,0,1,137,1895,3.968344379531792,3.946128918503108,0.21026660694887764,0.0,0.0,0.0625,0.17970621585845947,0.27036693692207336,0.42619380354881287
2488039-B2,0,0,0,1,232,3196,3.7434689864928945,3.687306179759495,0.5602273093723703,0.0,0.0,0.0625,0.3555718660354614,0.4348932206630707,0.5548096895217896
2488050-B3,0,0,0,1,243,3528,4.79064218454437,4.767452307957522,0.22650398902257235,0.0,0.0,0.0625,0.12120366096496582,0.17731204628944397,0.28324300050735474
2488330-B2,0,0,0,1,277,4011,4.503578948938211,4.467307458518318,0.3554626521754358,0.0,0.0,0.0625,0.20115606486797333,0.27083003520965576,0.38166216015815735
2488769-B2,0,0,0,1,161,2229,4.049566084907307,4.019072338483902,0.29248848149939294,0.0,0.0,0.0625,0.2164483368396759,0.3132728338241577,0.4634861350059509
2489137-B4,0,0,0,1,358,5205,4.980575460848384,4.952080931358086,0.2747887077658011,0.0,0.0,0.0625,0.10536497831344604,0.15997107326984406,0.26746413111686707
2489203-B,0,0,0,1,388,5588,4.753208797996773,4.720013441963522,0.3252473207477402,0.0,0.0,0.0625,0.15657475590705872,0.21661639213562012,0.32259514927864075
25012253B3,0,0,0,1,101,1418,3.9808409682963055,3.966717625444584,0.1326956732553001,0.0,0.0,0.0625,0.145352303981781,0.21238386631011963,0.3568318486213684
25012785B2,0,0,0,1,349,4855,4.402486585497151,4.360989940859914,0.41950588076271533,0.0,0.0,0.0625,0.235743910074234,0.28705814480781555,0.3970354199409485
25013871B6,0,0,0,1,359,5249,4.042072121720099,3.9904187962497097,0.5081367414608101,0.0,0.0,0.0625,0.294303834438324,0.3653300404548645,0.4956863820552826
25014124B2,0,0,0,1,352,5133,4.52079902491149,4.480879851937966,0.3903973911059647,0.0,0.0,0.0625,0.19032368063926697,0.27096864581108093,0.3958095908164978
25014217B3,0,0,0,1,125,1679,3.8379944089705194,3.8027806941279954,0.35153368127106044,0.0,0.0,0.0625,0.3041020333766937,0.37594592571258545,0.49436941742897034
25014268B,0,0,0,1,172,2332,4.266119561141705,4.235488780007203,0.29958839912951585,0.0,0.0,0.0625,0.20348292589187622,0.2865385413169861,0.4399867355823517
25014311B2,0,0,0,1,132,1752,3.3559806774782617,3.3207467088114795,0.33495921360823233,0.0,0.0,0.0625,0.3122756779193878,0.4505767226219177,0.6560165882110596
25014318B,0,0,0,1,125,1708,4.097148985456418,4.075674811379694,0.2075066210975825,1351.611042012046,0.0,0.125,0.18387146294116974,0.2624911963939667,0.40673086047172546
25014684B,0,0,0,1,400,5744,3.765495294919943,3.718263838056057,0.47173416487834674,0.0,0.0,0.0625,0.3116552233695984,0.3922187387943268,0.5268650054931641
25015070B2,0,0,0,1,218,3053,4.53304329395776,4.511223211938417,0.20751433410105818,0.0,0.0,0.0625,0.11262987554073334,0.17473378777503967,0.2966344356536865
25015087B2,0,0,0,1,225,3171,3.389753832947209,3.3261055005375426,0.62358568446035,0.0,0.0,0.0625,0.43948498368263245,0.5398648977279663,0.6905975341796875
25015204B2,0,0,0,1,272,4122,4.241337699854742,4.2080117288711705,0.3221528460215409,0.0,0.0,0.0625,0.19239908456802368,0.26418155431747437,0.40653595328330994
25015422B,0,0,0,1,168,2324,4.194835735513172,4.165626723376236,0.2805046969948521,0.0,0.0,0.0625,0.20079335570335388,0.28826987743377686,0.42287683486938477
25015607B2,0,0,0,1,185,2657,3.463680922593266,3.414282744523689,0.4836789498695515,0.0,0.0,0.0625,0.3850530683994293,0.48500141501426697,0.6201708316802979
25015622B2,0,0,0,1,289,3802,4.494250712346092,4.463573844893696,0.29805459954110114,0.0,0.0,0.0625,0.1647561490535736,0.2435905784368515,0.3606540858745575
25015811B3,0,0,0,1,114,1417,3.540259566159025,3.505057055216204,0.34332228460335845,0.0,0.0,0.0625,0.34939253330230713,0.4483162760734558,0.595567524433136
25015820B,0,0,0,1,300,4362,4.362908162598851,4.33336385426042,0.289743557771859,0.0,0.0,0.0625,0.1995055377483368,0.26397985219955444,0.380917489528656
25015870B3,0,0,0,1,180,2419,3.6471162525546985,3.5980644481093345,0.4666983309907761,0.0,0.0,0.0625,0.32752078771591187,0.4493539035320282,0.6226911544799805
25017211B2,0,0,0,1,264,3869,4.2607090188236185,4.225382499935934,0.3451256285454136,0.0,0.0,0.0625,0.21586325764656067,0.2974209785461426,0.4151364862918854
25017355B1,0,0,0,1,321,4467,5.072394922172343,5.049363257996436,0.2228611920051601,0.0,0.0,0.0625,0.1045595034956932,0.14482559263706207,0.23215150833129883
25017711B,0,0,0,1,384,5679,5.08399835751681,5.058250057373028,0.2530606460035971,0.0,0.0,0.0625,0.11640363931655884,0.17225776612758636,0.2512868046760559
